"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","778.559199599544","1","11.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","785.504827090974","1","10.416","0.2","Narrow (~1.3 m/z)","20"
"TRUE","788.579507326555","1","12.125","0.2","Narrow (~1.3 m/z)","20"
"TRUE","790.558226281995","1","11.69","0.2","Narrow (~1.3 m/z)","20"
"TRUE","803.627103707073","1","12.196","0.2","Narrow (~1.3 m/z)","20"
"TRUE","822.527822963859","1","11.134","0.2","Narrow (~1.3 m/z)","20"
"TRUE","885.550499216047","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","897.57125047028","1","7.747","0.2","Narrow (~1.3 m/z)","20"
"TRUE","910.503280825599","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","912.518749611023","1","11.488","0.2","Narrow (~1.3 m/z)","20"
"TRUE","942.55109766482","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","947.608968577365","1","8.212","0.2","Narrow (~1.3 m/z)","20"
"TRUE","953.53668774831","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","957.632258522627","1","12.489","0.2","Narrow (~1.3 m/z)","20"
