"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","185.118135210104","1","5.897","0.2","Narrow (~1.3 m/z)","20"
"TRUE","187.007729648212","1","1.843","0.2","Narrow (~1.3 m/z)","20"
"TRUE","201.022658378138","1","3.66","0.2","Narrow (~1.3 m/z)","20"
"TRUE","203.002020854997","1","1.428","0.2","Narrow (~1.3 m/z)","20"
"TRUE","210.842401772793","1","0.562","0.2","Narrow (~1.3 m/z)","20"
"TRUE","217.071632297707","1","1.58","0.2","Narrow (~1.3 m/z)","20"
"TRUE","225.069931730736","1","4.148","0.2","Narrow (~1.3 m/z)","20"
"TRUE","229.053933556018","1","4.704","0.2","Narrow (~1.3 m/z)","20"
"TRUE","241.180534016374","1","7.515","0.2","Narrow (~1.3 m/z)","20"
"TRUE","250.144651213398","1","7.788","0.2","Narrow (~1.3 m/z)","20"
"TRUE","266.803958029825","1","0.773","0.2","Narrow (~1.3 m/z)","20"
"TRUE","279.23283261886","1","9.638","0.2","Narrow (~1.3 m/z)","20"
"TRUE","281.248552189799","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","292.817887395399","1","0.572","0.2","Narrow (~1.3 m/z)","20"
"TRUE","294.842962866801","1","5.846","0.2","Narrow (~1.3 m/z)","20"
"TRUE","303.232886380673","1","9.658","0.2","Narrow (~1.3 m/z)","20"
"TRUE","306.296514417543","1","7.737","0.2","Narrow (~1.3 m/z)","20"
"TRUE","327.232891789504","1","9.608","0.2","Narrow (~1.3 m/z)","20"
"TRUE","331.248413264643","1","10.073","0.2","Narrow (~1.3 m/z)","20"
"TRUE","331.263171629737","1","10.194","0.2","Narrow (~1.3 m/z)","20"
"TRUE","340.302043068419","1","5.553","0.2","Narrow (~1.3 m/z)","20"
"TRUE","347.848623507234","1","1.843","0.2","Narrow (~1.3 m/z)","20"
"TRUE","366.223313494615","1","10.103","0.2","Narrow (~1.3 m/z)","20"
"TRUE","378.240908513023","1","7.707","0.2","Narrow (~1.3 m/z)","20"
"TRUE","381.155361528303","1","5.776","0.2","Narrow (~1.3 m/z)","20"
"TRUE","387.184162046696","1","4.511","0.2","Narrow (~1.3 m/z)","20"
"TRUE","397.168394224534","1","10.103","0.2","Narrow (~1.3 m/z)","20"
"TRUE","398.935980214826","1","5.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","405.191372019526","1","4.41","0.2","Narrow (~1.3 m/z)","20"
"TRUE","407.207068543332","1","4.521","0.2","Narrow (~1.3 m/z)","20"
"TRUE","411.384059917935","1","10.74","0.2","Narrow (~1.3 m/z)","20"
"TRUE","413.362424278875","1","10.154","0.2","Narrow (~1.3 m/z)","20"
"TRUE","449.254036138554","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","455.246974904998","1","6.291","0.2","Narrow (~1.3 m/z)","20"
"TRUE","457.274198076526","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","457.352553688033","1","9.001","0.2","Narrow (~1.3 m/z)","20"
"TRUE","482.090149097036","1","3.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","485.383695089082","1","9.062","0.2","Narrow (~1.3 m/z)","20"
"TRUE","487.290666536023","1","8.415","0.2","Narrow (~1.3 m/z)","20"
"TRUE","512.268441415496","1","5.846","0.2","Narrow (~1.3 m/z)","20"
"TRUE","514.274814284996","1","11.458","0.2","Narrow (~1.3 m/z)","20"
"TRUE","526.314492663411","1","7.757","0.2","Narrow (~1.3 m/z)","20"
"TRUE","547.321482486252","1","11.458","0.2","Narrow (~1.3 m/z)","20"
"TRUE","554.091140985208","1","4.916","0.2","Narrow (~1.3 m/z)","20"
"TRUE","564.251757719964","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","579.438937998612","1","11.448","0.2","Narrow (~1.3 m/z)","20"
"TRUE","585.34720611347","1","9.972","0.2","Narrow (~1.3 m/z)","20"
"TRUE","596.392231744143","1","9.557","0.2","Narrow (~1.3 m/z)","20"
"TRUE","599.250226593889","1","5.715","0.2","Narrow (~1.3 m/z)","20"
"TRUE","606.301919671921","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","616.338024909464","1","5.755","0.2","Narrow (~1.3 m/z)","20"
"TRUE","620.353081876366","1","8.617","0.2","Narrow (~1.3 m/z)","20"
"TRUE","642.394704478239","1","9.638","0.2","Narrow (~1.3 m/z)","20"
"TRUE","644.431025122256","1","10.083","0.2","Narrow (~1.3 m/z)","20"
"TRUE","675.422907502854","1","9.072","0.2","Narrow (~1.3 m/z)","20"
"TRUE","680.526644363095","1","9.597","0.2","Narrow (~1.3 m/z)","20"
"TRUE","680.619459567832","1","13.116","0.2","Narrow (~1.3 m/z)","20"
"TRUE","684.244183799023","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","703.565118133479","1","12.57","0.2","Narrow (~1.3 m/z)","20"
"TRUE","704.441227507553","1","10.083","0.2","Narrow (~1.3 m/z)","20"
"TRUE","711.269749739732","1","8.334","0.2","Narrow (~1.3 m/z)","20"
"TRUE","722.498067318155","1","10.881","0.2","Narrow (~1.3 m/z)","20"
"TRUE","728.55854786123","1","12.509","0.2","Narrow (~1.3 m/z)","20"
"TRUE","729.457529827909","1","9.608","0.2","Narrow (~1.3 m/z)","20"
"TRUE","733.397730974456","1","4.916","0.2","Narrow (~1.3 m/z)","20"
"TRUE","734.533518470006","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","754.573659342196","1","12.62","0.2","Narrow (~1.3 m/z)","20"
"TRUE","772.418194806916","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","777.547390976278","1","11.478","0.2","Narrow (~1.3 m/z)","20"
"TRUE","782.277339986917","1","8.718","0.2","Narrow (~1.3 m/z)","20"
"TRUE","788.543606783477","1","11.387","0.2","Narrow (~1.3 m/z)","20"
"TRUE","800.544300406973","1","11.347","0.2","Narrow (~1.3 m/z)","20"
"TRUE","804.48467350918","1","7.596","0.2","Narrow (~1.3 m/z)","20"
"TRUE","812.543542350008","1","11.407","0.2","Narrow (~1.3 m/z)","20"
"TRUE","813.536973924688","1","10.942","0.2","Narrow (~1.3 m/z)","20"
"TRUE","818.589595470832","1","12.085","0.2","Narrow (~1.3 m/z)","20"
"TRUE","819.496964779749","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","824.544843612116","1","11.367","0.2","Narrow (~1.3 m/z)","20"
"TRUE","825.627590434197","1","7.757","0.2","Narrow (~1.3 m/z)","20"
"TRUE","828.576223222131","1","11.751","0.2","Narrow (~1.3 m/z)","20"
"TRUE","836.578860740393","1","11.903","0.2","Narrow (~1.3 m/z)","20"
"TRUE","841.572614175285","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","847.645661166747","1","12.59","0.2","Narrow (~1.3 m/z)","20"
"TRUE","857.675521382114","1","12.59","0.2","Narrow (~1.3 m/z)","20"
"TRUE","863.359025092745","1","9.638","0.2","Narrow (~1.3 m/z)","20"
"TRUE","863.564452088968","1","12.54","0.2","Narrow (~1.3 m/z)","20"
"TRUE","868.531426290431","1","11.347","0.2","Narrow (~1.3 m/z)","20"
"TRUE","871.688035551877","1","12.711","0.2","Narrow (~1.3 m/z)","20"
"TRUE","877.522873050091","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","899.645760376228","1","12.57","0.2","Narrow (~1.3 m/z)","20"
"TRUE","906.614132109798","1","11.276","0.2","Narrow (~1.3 m/z)","20"
"TRUE","967.632803056554","1","12.57","0.2","Narrow (~1.3 m/z)","20"
"TRUE","987.639732513432","1","8.435","0.2","Narrow (~1.3 m/z)","20"
