"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","117.05620315754","1","1.084","0.2","Narrow (~1.3 m/z)","20"
"TRUE","137.024812439713","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","187.133790594827","1","6.352","0.2","Narrow (~1.3 m/z)","20"
"TRUE","199.007040317046","1","3.17","0.2","Narrow (~1.3 m/z)","20"
"TRUE","204.066676424172","1","3.219","0.2","Narrow (~1.3 m/z)","20"
"TRUE","204.946417825343","1","5.543","0.2","Narrow (~1.3 m/z)","20"
"TRUE","215.002070399832","1","2.529","0.2","Narrow (~1.3 m/z)","20"
"TRUE","217.017668843095","1","3.249","0.2","Narrow (~1.3 m/z)","20"
"TRUE","229.086817814637","1","5.594","0.2","Narrow (~1.3 m/z)","20"
"TRUE","240.91333298294","1","3.946","0.2","Narrow (~1.3 m/z)","20"
"TRUE","241.14418367633","1","5.675","0.2","Narrow (~1.3 m/z)","20"
"TRUE","245.012193806571","1","3.511","0.2","Narrow (~1.3 m/z)","20"
"TRUE","255.232847425074","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","291.304796734034","1","9.173","0.2","Narrow (~1.3 m/z)","20"
"TRUE","299.014506042546","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","301.238062396772","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","308.84052007229","1","5.098","0.2","Narrow (~1.3 m/z)","20"
"TRUE","312.879539581377","1","1.843","0.2","Narrow (~1.3 m/z)","20"
"TRUE","323.219455163137","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","327.967582286492","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","328.117097047012","1","0.604","0.2","Narrow (~1.3 m/z)","20"
"TRUE","328.162939041538","1","6.2","0.2","Narrow (~1.3 m/z)","20"
"TRUE","353.212120873572","1","8.445","0.2","Narrow (~1.3 m/z)","20"
