"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","728.586173696628","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","800.551656268476","1","11.367","0.2","Narrow (~1.3 m/z)","20"
"TRUE","117.056047405149","1","1.077","0.2","Narrow (~1.3 m/z)","20"
"TRUE","466.290157979669","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","544.309374243853","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","576.247337074808","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","580.286079705452","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","612.296563770978","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","630.965167092046","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","648.273249465997","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","658.982960491378","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","694.955536391154","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","712.221423239236","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","748.198115146986","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","444.972457903866","1","5.755","0.2","Narrow (~1.3 m/z)","20"
"TRUE","367.04795788654","1","6.585","0.2","Narrow (~1.3 m/z)","20"
"TRUE","879.480321589062","1","11.053","0.2","Narrow (~1.3 m/z)","20"
"TRUE","620.352983346334","1","8.617","0.2","Narrow (~1.3 m/z)","20"
"TRUE","499.286634731136","1","5.715","0.2","Narrow (~1.3 m/z)","20"
"TRUE","273.197254612172","1","7.323","0.2","Narrow (~1.3 m/z)","20"
"TRUE","309.173948426285","1","7.323","0.2","Narrow (~1.3 m/z)","20"
"TRUE","393.32392840651","1","7.323","0.2","Narrow (~1.3 m/z)","20"
"TRUE","429.300517687749","1","7.323","0.2","Narrow (~1.3 m/z)","20"
"TRUE","525.164909694187","1","6.858","0.2","Narrow (~1.3 m/z)","20"
"TRUE","646.619551494794","1","13.025","0.2","Narrow (~1.3 m/z)","20"
"TRUE","295.188267132944","1","9.132","0.2","Narrow (~1.3 m/z)","20"
"TRUE","454.201400610375","1","9.375","0.2","Narrow (~1.3 m/z)","20"
