"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","120.080935176546","1","0.609","0.2","Narrow (~1.3 m/z)","20"
"TRUE","152.070579985569","1","0.68","0.2","Narrow (~1.3 m/z)","20"
"TRUE","160.133086723292","1","2.399","0.2","Narrow (~1.3 m/z)","20"
"TRUE","205.097275321342","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","218.138541043112","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","229.154436353366","1","0.559","0.2","Narrow (~1.3 m/z)","20"
"TRUE","245.185719751696","1","1.883","0.2","Narrow (~1.3 m/z)","20"
"TRUE","267.994832880987","1","1.812","0.2","Narrow (~1.3 m/z)","20"
"TRUE","269.138243733941","1","6.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","273.628007124032","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","275.011075577759","1","3.996","0.2","Narrow (~1.3 m/z)","20"
"TRUE","286.14415710562","1","5.856","0.2","Narrow (~1.3 m/z)","20"
"TRUE","286.625838622003","1","7.525","0.2","Narrow (~1.3 m/z)","20"
"TRUE","288.147333454769","1","8.465","0.2","Narrow (~1.3 m/z)","20"
"TRUE","290.139140046613","1","1.772","0.2","Narrow (~1.3 m/z)","20"
"TRUE","294.155073444931","1","0.599","0.2","Narrow (~1.3 m/z)","20"
"TRUE","300.19872540587","1","5.786","0.2","Narrow (~1.3 m/z)","20"
"TRUE","318.190987561324","1","1.044","0.2","Narrow (~1.3 m/z)","20"
"TRUE","319.042327480863","1","1.812","0.2","Narrow (~1.3 m/z)","20"
"TRUE","321.239043528283","1","8.566","0.2","Narrow (~1.3 m/z)","20"
"TRUE","325.966974293109","1","0.609","0.2","Narrow (~1.3 m/z)","20"
"TRUE","331.155638703651","1","9.223","0.2","Narrow (~1.3 m/z)","20"
"TRUE","361.105287459589","1","4.572","0.2","Narrow (~1.3 m/z)","20"
"TRUE","361.12234342248","1","5.594","0.2","Narrow (~1.3 m/z)","20"
"TRUE","361.200570233793","1","4.411","0.2","Narrow (~1.3 m/z)","20"
"TRUE","367.073967532866","1","5.594","0.2","Narrow (~1.3 m/z)","20"
"TRUE","371.28969348911","1","9.597","0.2","Narrow (~1.3 m/z)","20"
"TRUE","379.28198091183","1","9.385","0.2","Narrow (~1.3 m/z)","20"
"TRUE","385.096717646959","1","5.594","0.2","Narrow (~1.3 m/z)","20"
"TRUE","398.326355558365","1","6.898","0.2","Narrow (~1.3 m/z)","20"
"TRUE","401.345348996248","1","7.332","0.2","Narrow (~1.3 m/z)","20"
"TRUE","413.785776967769","1","12.276","0.2","Narrow (~1.3 m/z)","20"
"TRUE","416.315628999969","1","5.846","0.2","Narrow (~1.3 m/z)","20"
"TRUE","427.361079574713","1","7.525","0.2","Narrow (~1.3 m/z)","20"
"TRUE","429.372543787911","1","11.174","0.2","Narrow (~1.3 m/z)","20"
"TRUE","438.298014745305","1","8.576","0.2","Narrow (~1.3 m/z)","20"
"TRUE","448.154730263196","1","4.572","0.2","Narrow (~1.3 m/z)","20"
"TRUE","454.293281434021","1","8.222","0.2","Narrow (~1.3 m/z)","20"
"TRUE","466.316083870424","1","5.583","0.2","Narrow (~1.3 m/z)","20"
"TRUE","469.328571838932","1","9.951","0.2","Narrow (~1.3 m/z)","20"
"TRUE","488.297729080885","1","5.594","0.2","Narrow (~1.3 m/z)","20"
"TRUE","502.324867201142","1","8.465","0.2","Narrow (~1.3 m/z)","20"
"TRUE","507.828061502314","1","8.121","0.2","Narrow (~1.3 m/z)","20"
"TRUE","508.376192584435","1","8.617","0.2","Narrow (~1.3 m/z)","20"
"TRUE","510.356058418644","1","8.475","0.2","Narrow (~1.3 m/z)","20"
"TRUE","512.33459270805","1","7.585","0.2","Narrow (~1.3 m/z)","20"
"TRUE","516.306206083625","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","521.271301814279","1","5.715","0.2","Narrow (~1.3 m/z)","20"
"TRUE","532.337389346596","1","8.475","0.2","Narrow (~1.3 m/z)","20"
"TRUE","547.358848023414","1","8.192","0.2","Narrow (~1.3 m/z)","20"
"TRUE","563.428249246388","1","9.931","0.2","Narrow (~1.3 m/z)","20"
"TRUE","568.259228127159","1","4.916","0.2","Narrow (~1.3 m/z)","20"
"TRUE","571.279669314675","1","5.856","0.2","Narrow (~1.3 m/z)","20"
"TRUE","593.242617320647","1","7.616","0.2","Narrow (~1.3 m/z)","20"
"TRUE","593.332715533228","1","5.745","0.2","Narrow (~1.3 m/z)","20"
"TRUE","595.492860214067","1","10.214","0.2","Narrow (~1.3 m/z)","20"
"TRUE","604.534207592165","1","9.152","0.2","Narrow (~1.3 m/z)","20"
"TRUE","606.243766823279","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","623.217941382844","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","626.352762957407","1","5.634","0.2","Narrow (~1.3 m/z)","20"
"TRUE","633.254886423854","1","5.553","0.2","Narrow (~1.3 m/z)","20"
"TRUE","650.644240565467","1","13.227","0.2","Narrow (~1.3 m/z)","20"
"TRUE","653.464819784121","1","9.223","0.2","Narrow (~1.3 m/z)","20"
"TRUE","670.501910231552","1","9.223","0.2","Narrow (~1.3 m/z)","20"
"TRUE","682.302229988719","1","5.765","0.2","Narrow (~1.3 m/z)","20"
"TRUE","684.58863104609","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","687.030911755232","1","10.79","0.2","Narrow (~1.3 m/z)","20"
"TRUE","691.526738298983","1","12.651","0.2","Narrow (~1.3 m/z)","20"
"TRUE","722.509624853711","1","11.933","0.2","Narrow (~1.3 m/z)","20"
"TRUE","743.446275983331","1","8.96","0.2","Narrow (~1.3 m/z)","20"
"TRUE","746.569402885447","1","11.69","0.2","Narrow (~1.3 m/z)","20"
"TRUE","752.520926519454","1","11.164","0.2","Narrow (~1.3 m/z)","20"
"TRUE","766.536328710461","1","11.407","0.2","Narrow (~1.3 m/z)","20"
"TRUE","772.620488391305","1","12.246","0.2","Narrow (~1.3 m/z)","20"
"TRUE","780.55465237936","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","788.617602121857","1","12.276","0.2","Narrow (~1.3 m/z)","20"
"TRUE","828.481819991304","1","7.595","0.2","Narrow (~1.3 m/z)","20"
"TRUE","833.651030880931","1","12.327","0.2","Narrow (~1.3 m/z)","20"
"TRUE","838.630462303729","1","12.307","0.2","Narrow (~1.3 m/z)","20"
"TRUE","842.600922913087","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","844.617694933038","1","12.327","0.2","Narrow (~1.3 m/z)","20"
"TRUE","885.67427945207","1","13.803","0.2","Narrow (~1.3 m/z)","20"
"TRUE","897.124947259205","1","12.57","0.2","Narrow (~1.3 m/z)","20"
"TRUE","903.652286750674","1","12.6","0.2","Narrow (~1.3 m/z)","20"
"TRUE","943.485564732059","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","992.69948118469","1","12.206","0.2","Narrow (~1.3 m/z)","20"
