"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","736.583166266241","1","11.619","0.2","Narrow (~1.3 m/z)","20"
"TRUE","853.658088391658","1","11.619","0.2","Narrow (~1.3 m/z)","20"
"TRUE","816.214406334081","1","12.994","0.2","Narrow (~1.3 m/z)","20"
"TRUE","291.252751632504","1","7.454","0.2","Narrow (~1.3 m/z)","20"
"TRUE","254.139422404579","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","568.231447809869","1","7.373","0.2","Narrow (~1.3 m/z)","20"
"TRUE","269.137782944761","1","6.64","0.2","Narrow (~1.3 m/z)","20"
"TRUE","311.055431064654","1","6.64","0.2","Narrow (~1.3 m/z)","20"
"TRUE","259.189944459038","1","7.14","0.2","Narrow (~1.3 m/z)","20"
"TRUE","153.056515355312","1","1.425","0.2","Narrow (~1.3 m/z)","20"
"TRUE","219.043868073706","1","1.425","0.2","Narrow (~1.3 m/z)","20"
"TRUE","339.221764893118","1","4.754","0.2","Narrow (~1.3 m/z)","20"
"TRUE","247.226599524925","1","7.525","0.2","Narrow (~1.3 m/z)","20"
"TRUE","92.1456126443492","1","2.399","0.2","Narrow (~1.3 m/z)","20"
"TRUE","343.295383718365","1","6.453","0.2","Narrow (~1.3 m/z)","20"
"TRUE","903.28472802321","1","13.409","0.2","Narrow (~1.3 m/z)","20"
"TRUE","495.221740327882","1","5.492","0.2","Narrow (~1.3 m/z)","20"
"TRUE","273.063594336806","1","1.059","0.2","Narrow (~1.3 m/z)","20"
"TRUE","787.679355789645","1","13.742","0.2","Narrow (~1.3 m/z)","20"
"TRUE","339.245050747116","1","7.484","0.2","Narrow (~1.3 m/z)","20"
"TRUE","165.112139192755","1","0.66","0.2","Narrow (~1.3 m/z)","20"
"TRUE","621.54537243185","1","12.812","0.2","Narrow (~1.3 m/z)","20"
"TRUE","509.234685125547","1","6.857","0.2","Narrow (~1.3 m/z)","20"
