"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","163.111781726072","1","5.139","0.2","Narrow (~1.3 m/z)","20"
"TRUE","223.096545933855","1","5.614","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.091247463278","1","3.855","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.163849266959","1","7.737","0.2","Narrow (~1.3 m/z)","20"
"TRUE","246.170049181726","1","0.862","0.2","Narrow (~1.3 m/z)","20"
"TRUE","247.144446556386","1","0.781","0.2","Narrow (~1.3 m/z)","20"
"TRUE","274.183303767276","1","5.412","0.2","Narrow (~1.3 m/z)","20"
"TRUE","276.126138435206","1","3.521","0.2","Narrow (~1.3 m/z)","20"
"TRUE","281.663412677783","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","288.651152911206","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","291.09033850275","1","7.019","0.2","Narrow (~1.3 m/z)","20"
"TRUE","296.121523388133","1","3.915","0.2","Narrow (~1.3 m/z)","20"
"TRUE","307.019598498801","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","309.164983850459","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","313.154492031889","1","3.238","0.2","Narrow (~1.3 m/z)","20"
"TRUE","352.165444266826","1","3.319","0.2","Narrow (~1.3 m/z)","20"
"TRUE","364.97827335096","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","370.295082258149","1","6.311","0.2","Narrow (~1.3 m/z)","20"
"TRUE","370.759084573505","1","10.952","0.2","Narrow (~1.3 m/z)","20"
"TRUE","372.310811344465","1","8.94","0.2","Narrow (~1.3 m/z)","20"
"TRUE","375.183067697404","1","4.754","0.2","Narrow (~1.3 m/z)","20"
"TRUE","377.266336937857","1","8.94","0.2","Narrow (~1.3 m/z)","20"
"TRUE","381.269306392092","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","396.231920309611","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","408.196433735889","1","8.94","0.2","Narrow (~1.3 m/z)","20"
"TRUE","409.187140989788","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","420.765089118571","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","422.937057625541","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","423.258111084843","1","8.94","0.2","Narrow (~1.3 m/z)","20"
"TRUE","437.359665345885","1","10.143","0.2","Narrow (~1.3 m/z)","20"
"TRUE","443.409025106474","1","10.214","0.2","Narrow (~1.3 m/z)","20"
"TRUE","463.303059672252","1","7.878","0.2","Narrow (~1.3 m/z)","20"
"TRUE","471.197336662581","1","4.906","0.2","Narrow (~1.3 m/z)","20"
"TRUE","471.27153122184","1","7.242","0.2","Narrow (~1.3 m/z)","20"
"TRUE","478.293857247997","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","480.343638317695","1","8.455","0.2","Narrow (~1.3 m/z)","20"
"TRUE","480.895374619827","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","487.082942785611","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","494.324966396307","1","7.605","0.2","Narrow (~1.3 m/z)","20"
"TRUE","500.27509376116","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","524.373088871964","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","535.35698775436","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","540.498023160943","1","10.214","0.2","Narrow (~1.3 m/z)","20"
"TRUE","543.345669077122","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","544.340546647059","1","7.919","0.2","Narrow (~1.3 m/z)","20"
"TRUE","545.416794028351","1","10.072","0.2","Narrow (~1.3 m/z)","20"
"TRUE","548.833093163911","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","550.334747092116","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","561.412586359176","1","9.668","0.2","Narrow (~1.3 m/z)","20"
"TRUE","561.819722027222","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","562.325245902451","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","566.321947371225","1","7.919","0.2","Narrow (~1.3 m/z)","20"
"TRUE","566.411844660975","1","10.487","0.2","Narrow (~1.3 m/z)","20"
"TRUE","572.573974472093","1","13.662","0.2","Narrow (~1.3 m/z)","20"
"TRUE","584.257948685881","1","5.573","0.2","Narrow (~1.3 m/z)","20"
"TRUE","585.270517654148","1","4.694","0.2","Narrow (~1.3 m/z)","20"
"TRUE","591.04887862634","1","0.791","0.2","Narrow (~1.3 m/z)","20"
"TRUE","596.264204229378","1","8.172","0.2","Narrow (~1.3 m/z)","20"
"TRUE","608.385956070126","1","8.859","0.2","Narrow (~1.3 m/z)","20"
"TRUE","619.491562590446","1","10.588","0.2","Narrow (~1.3 m/z)","20"
