"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","104.003463449666","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","389.788172315399","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","409.779370538785","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","696.603678240912","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","740.523805361508","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","742.114922121679","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","763.605287813429","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","779.583314528212","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","780.073169102412","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","784.583609145784","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","790.071095186578","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","808.582171472929","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","825.052782489853","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","825.553876225582","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","903.534958258938","1","11.761","0.2","Narrow (~1.3 m/z)","20"
"TRUE","786.602446462867","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","810.599693444456","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","826.571174094888","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","848.554872952815","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","866.534079637437","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","881.688551961099","1","12.034","0.2","Narrow (~1.3 m/z)","20"
"TRUE","456.34297116531","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","722.596112444426","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","738.601395408869","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","742.102756028455","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","765.087271344186","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","768.590489141515","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","862.511360722685","1","11.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","789.04548470945","1","11.437","0.2","Narrow (~1.3 m/z)","20"
"TRUE","195.054638407712","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","211.036147116028","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","223.094192827822","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","233.016601637155","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","282.169058308601","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","283.071714267285","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","289.082136931132","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","296.184870533137","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","301.114826649557","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","339.060807842216","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","344.11006968439","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","348.075760584116","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","396.117949022796","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","501.212378609222","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","507.158676309516","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","625.222244054706","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","640.362291568325","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","673.249189555729","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","691.274898205241","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","853.317142991725","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","881.344411591609","1","5.24","0.2","Narrow (~1.3 m/z)","20"
"TRUE","538.591993917407","1","14.228","0.2","Narrow (~1.3 m/z)","20"
"TRUE","750.60096109144","1","11.822","0.2","Narrow (~1.3 m/z)","20"
"TRUE","766.574477984968","1","11.822","0.2","Narrow (~1.3 m/z)","20"
"TRUE","813.065269038193","1","11.822","0.2","Narrow (~1.3 m/z)","20"
"TRUE","323.235176257118","1","8.611","0.2","Narrow (~1.3 m/z)","20"
"TRUE","342.373112022732","1","8.611","0.2","Narrow (~1.3 m/z)","20"
"TRUE","486.390280037441","1","8.611","0.2","Narrow (~1.3 m/z)","20"
"TRUE","855.742700863271","1","13.955","0.2","Narrow (~1.3 m/z)","20"
"TRUE","327.006543359234","1","5.897","0.2","Narrow (~1.3 m/z)","20"
"TRUE","249.255579600876","1","6.453","0.2","Narrow (~1.3 m/z)","20"
"TRUE","450.319699849444","1","6.453","0.2","Narrow (~1.3 m/z)","20"
"TRUE","178.214331397695","1","7.322","0.2","Narrow (~1.3 m/z)","20"
"TRUE","488.363647172037","1","9.546","0.2","Narrow (~1.3 m/z)","20"
"TRUE","234.107732769519","1","5.169","0.2","Narrow (~1.3 m/z)","20"
"TRUE","564.30505060973","1","5.705","0.2","Narrow (~1.3 m/z)","20"
"TRUE","177.111841951346","1","3.804","0.2","Narrow (~1.3 m/z)","20"
"TRUE","329.264202849545","1","8.647","0.2","Narrow (~1.3 m/z)","20"
"TRUE","468.402815848845","1","8.647","0.2","Narrow (~1.3 m/z)","20"
"TRUE","506.359528220584","1","8.647","0.2","Narrow (~1.3 m/z)","20"
"TRUE","217.180622261001","1","6.372","0.2","Narrow (~1.3 m/z)","20"
"TRUE","288.253216288256","1","6.059","0.2","Narrow (~1.3 m/z)","20"
"TRUE","405.402238297796","1","8.758","0.2","Narrow (~1.3 m/z)","20"
"TRUE","426.355400535627","1","8.758","0.2","Narrow (~1.3 m/z)","20"
