"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M213.1131T288.9","213.113057906386","288.909454345703","98386.2143926177","98621.0119484856","93829.6532114814","97121.6010138568","100834.383403554"
"M217.0177T194.9","217.017668843095","194.921737670898","208906.47681339","160384.831036963","156254.534201448","164196.617474902","157778.57677108"
"M225.1129T298","225.112912990634","298.012969970703","104469.976897671","102095.600694769","103830.765587081","102235.662897467","102469.064604815"
"M226.018T175.5","226.017979771323","175.459289550781","242707.583427971","235665.111788543","229691.050728647","226383.513329323","228864.989775432"
"M234.9836T284.7","234.983633909973","284.655899047852","219432.403916512","213870.882134839","206353.19843466","218248.182351736","212812.396313283"
"M237.0225T267.6","237.022493659045","267.637084960938","163513.117604442","163441.828139509","165234.418111659","160736.467678379","148063.848369663"
"M238.0782T251.3","238.07820128544","251.293464660645","2595666.76237871","2545489.71568569","2797732.8499647","2801449.81148118","2567890.88385838"
"M240.9133T236.7","240.91333298294","236.74000000002","498942.962388251","489436.719459702","497435.503649953","513212.233431545","495076.852659242"
"M244.908T293.2","244.907986847263","293.159912109375","261206.206864848","268275.814069891","258033.80443819","261550.770933964","264583.77504366"
"M245.0122T210.6","245.012193806571","210.638634338389","75027.5734119566","72586.1199288463","78691.510601876","74622.4326872127","66386.7165859442"
"M246.0755T229.7","246.075546551925","229.687088012695","578018.398420183","580108.281057873","571862.07779461","568664.577957868","574460.603483602"
"M253.0828T421.2","253.082804654933","421.156555175781","531110.633142482","532324.748992054","519943.017242272","536593.162433202","539454.57294518"
"M253.2172T566.7","253.217210217865","566.744018554688","360034.13904915","367022.992140369","257704.790727472","261849.993610399","376039.335069847"
"M253.2172T562.5","253.217176508028","562.500915527344","424770.812051176","431918.89027979","306873.708464774","316672.699148379","448070.333626316"
"M257.012T245.9","257.012009137152","245.875991821289","60707.4684891121","55212.5486291024","52567.2536502326","54769.9957488281","56458.8861326933"
"M261.8893T239.9","261.889283353723","239.880889892578","223493.489303947","244668.520028825","213453.541519959","208504.462713286","230236.53601187"
"M267.196T466.7","267.196030162433","466.654479980469","53444.3517542356","49493.8326956351","48914.0490287813","50284.0240293824","51153.6710248901"
"M267.1961T561.3","267.196108128272","561.28699999998","41977.1128056093","36944.5417569406","26718.4273894958","24074.8780579692","32498.349220772"
"M277.217T554.6","277.217011262177","554.614929199219","170615.843146728","169978.724249618","165749.933844465","169676.684076543","167638.866337408"
"M279.2328T578.3","279.23283261886","578.273071289062","880334.011144563","862520.558512793","805694.799534875","829388.38737765","887083.584372835"
"M279.6146T286.5","279.614595557604","286.478271484375","220659.124145717","223329.592071651","232861.350413338","225823.210168331","212199.159301939"
"M280.6225T308.3","280.622475022589","308.325454711914","363115.544058344","356931.544391653","357495.420204573","366457.814256116","345621.960544018"
"M294.1345T363.5","294.134538600742","363.526942993154","157606.136836315","146227.643571002","130656.674016043","123221.446551816","150697.104225631"
"M299.2585T484.2","299.25852158491","484.246948242188","112278.66988318","112127.413856478","109657.46171283","107136.056269903","115796.096109528"
"M303.2329T579.5","303.232886380673","579.486022949219","1004740.92144369","994264.669927001","958164.787211351","983968.544975096","434839.865528689"
"M311.2225T413.9","311.222484140361","413.876892089844","161605.403513684","156321.649430685","154355.234553004","143718.330473953","156675.732076879"
"M327.0298T239.3","327.029804193988","239.269561767578","8203.43673242453","10754.9188591512","6866.31217652524","9575.21035042637","14486.4811955266"
"M327.2329T576.5","327.232891789504","576.453002929688","790588.685805938","787716.588777806","777732.944912672","795074.451517119","783968.398611152"
"M329.2329T384.2","329.232928321239","384.15199999998","113237.623507496","109466.321401208","107264.457304392","111220.307824126","112684.37729136"
"M336.1602T341.1","336.160212835682","341.082397460938","32877.4049387736","27887.9065445254","43695.5476764919","27849.9044740515","33699.5952193581"
"M339.2341T577.7","339.23413851782","577.6650390625","44686613.3546282","44423845.1318845","43457841.7993641","43592636.7272376","44434048.0341131"
"M341.2692T521.3","341.269197211535","521.25096874998","76955.8008670071","80320.5323119517","77144.8239505238","75466.6188387285","76616.7734903177"
"M367.2844T527.3","367.284375732749","527.316955566406","56928.4986179609","67767.7020618653","57613.6634717882","53805.423201106","56449.0378130811"
"M369.1746T315","369.174643960559","314.998413085938","6872062.84220601","6759464.33787967","6566132.57908003","6527449.39766801","6667470.37707714"
"M369.1745T301.7","369.174487653506","301.652282714844","2750642.43576808","2729452.42209402","2667475.15826772","2638963.81450737","2664395.31152806"
