"","pos","rt","neg","rt","diffmz","diffrt","cor"
"1277",619.491562590446,635.28199999998,617.475345654307,629.837097167969,2.01621693613902,5.44490283201105,0.999290646795498
"1284",639.189834951557,552.173706054688,637.17432888772,552.187927246094,2.01550606383705,-0.0142211914060226,0.999544002519427
"1286",640.192674185785,552.173706054688,638.17741437433,552.187927246094,2.01525981145494,-0.0142211914060226,0.997440557669798
"1288",641.192870891231,552.173706054688,639.175515877308,552.187927246094,2.01735501392295,-0.0142211914060226,0.999079775654119
"1291",656.318568321464,456.93499999998,654.299844804899,452.094085693359,2.01872351656505,4.84091430662102,0.993699922198514
"1303",700.527310622401,715.9638671875,698.511676894977,715.97900390625,2.01563372742407,-0.01513671875,0.997945761135035
"1304",701.53140614217,715.9638671875,699.514346498204,715.97900390625,2.01705964396604,-0.01513671875,0.998374827396063
"M700.5274T730.5",702.542646897396,730.52299999998,700.527427107951,730.538208007812,2.01521978944504,-0.0152080078320296,0.987413305366501
"1322",724.332457360806,552.173706054688,722.3148103572,552.187927246094,2.01764700360593,-0.0142211914060226,0.991155042015603
"1323",724.527450588153,715.963439941406,722.512167213831,715.97900390625,2.01528337432194,-0.0155639648439774,0.999413994696325
"1325",725.531239226597,715.9638671875,723.51532286773,715.97900390625,2.015916358867,-0.01513671875,0.998018026498337
"1326",727.546043182179,719.603332519531,725.529533815771,720.225,2.01650936640806,-0.621667480469,0.999582785269602
"1328",728.558407989875,737.802368164062,726.542968645827,737.817,2.01543934404799,-0.014631835937962,0.998872386082793
"1329",729.562415442437,737.802368164062,727.546417368187,737.817,2.01599807424998,-0.014631835937962,0.999181370653389
"1330",731.578972773339,750.541129882822,729.561645217134,750.555969238281,2.01732755620503,-0.0148393554590029,0.956035094824007
"M738.5067T702.6",740.524073429452,702.6171875,738.506675304698,702.632507324219,2.01739812475398,-0.0153198242189774,0.97915160555762
"1339",741.527631440021,702.6171875,739.509851407506,702.633,2.01778003251502,-0.0158125000000382,0.998793745615503
"1348",748.527071884822,713.536743164062,746.511722075188,712.94599999998,2.01534980963402,0.590743164082028,0.998231126200566
"1349",749.531007359198,713.5361328125,747.515329826507,712.94599999998,2.01567753269103,0.590132812519983,0.978900347585026
"1350",750.5429308126,720.210021972656,748.527603477212,720.225,2.01532733538806,-0.0149780273440001,0.999764051116453
"1351",751.546182166909,720.210021972656,749.530736085238,720.22509765625,2.01544608167103,-0.0150756835939774,0.99968136467668
"1353",753.452730119336,604.950744628906,751.434257963299,614.06299999998,2.01847215603698,-9.11225537107396,0.982452881656358
"1354",753.562296559709,737.196,751.546623969536,737.211120605469,2.01567259017304,-0.015120605468951,0.99705852514137
"1357",764.5251174338,700.797058105469,762.506766808041,700.206909179688,2.01835062575901,0.590148925781023,0.938854456730788
"1359",765.529031035368,700.798461914062,763.509933516987,700.207092285156,2.01909751838105,0.591369628906023,0.996248330136244
"1370",777.692909244052,316.805969238281,775.67718845203,316.817810058594,2.01572079202197,-0.0118408203129547,0.998332798563894
"1372",778.573240052344,739.621398925781,776.557447585831,739.03000000002,2.01579246651295,0.591398925761041,0.987649757999542
"1381",793.545077463887,677.74600000002,791.521816539913,678.97607421875,2.02326092397402,-1.23007421873001,0.956912364442524
"1400",810.601486721565,721.42399999998,808.585594326134,713.55199999998,2.01589239543102,7.87199999999996,0.99799566537094
"1409",824.654149638816,756.000793457031,822.63070208302,754.195991943349,2.023447555796,1.80480151368204,0.99548970567389
"1418",848.652023681684,745.080871582031,846.631422594528,740.243539794912,2.02060108715602,4.83733178711907,0.998111223493017
"M861.5497T732.4",863.565036680714,731.736450195312,861.549673144513,732.356994628906,2.01536353620099,-0.620544433593977,0.995793389865858
"1428",876.681681426605,765.099731445312,874.664859834796,755.408937255859,2.01682159180905,9.69079418945307,0.992697998932842
"1432",887.564366820555,732.343444824219,885.548524006381,736.258544921875,2.01584281417411,-3.91510009765602,0.998715881920882
"1437",894.546000115422,689.271423339844,892.530230297255,682.008547119141,2.01576981816697,7.26287622070299,0.96795878851507
"1449",914.590296841123,741.44140625,912.566232797803,738.423187255859,2.02406404331998,3.01821899414097,0.971201934170098
"1460",948.593588378928,725.669250488281,946.57510612666,719.01199999998,2.01848225226797,6.65725048830097,0.958002982996697
"1464",974.608578838981,729.916320800781,972.585718598073,729.930969238281,2.02286024090802,-0.0146484375,0.982123534881112
"1466",974.627707398371,478.773010253906,972.612414296601,479.393859863281,2.01529310177,-0.620849609375,0.999363754633272
"1467",975.677901257516,755.39501953125,973.655398522823,756.015869140625,2.02250273469303,-0.620849609375,0.996690277915315
"1468",979.576149757364,480.592956542969,977.558915599811,481.21399999998,2.01723415755293,-0.621043457011012,0.991896518655729
