"","pos","rt","neg","rt","diffmz","diffrt","cor"
"126",315.252762254299,614.050964355469,313.237491094321,605.571044921875,2.015271159978,8.47991943359398,0.978722661922973
"129",323.234675982066,516.38299999998,321.217060879595,517.003967285156,2.01761510247098,-0.620967285175993,0.984338315747593
"130",324.238051281281,515.777099609375,322.220293109906,517.003845214844,2.01775817137502,-1.22674560546898,0.984726696767144
"145",347.170484998439,259.176971435547,345.155164616559,259.149658203125,2.01532038188003,0.0273132324219887,0.958994866395915
"149",354.127421785239,247.651000976562,352.112227058567,247.677093505859,2.01519472667201,-0.0260925292970171,0.996220379107013
"176",380.255913757801,463.000549316406,378.240908513023,462.408784667979,2.01500524477802,0.591764648427045,0.996087360720963
"178",381.260014063196,463.000549316406,379.24439532524,463.014373779297,2.015618737956,-0.0138244628909661,0.993116141872268
"1122",431.315427577119,439.34299999998,429.300186812707,439.35499999998,2.015240764412,-0.0120000000000005,0.999508075615593
"1127",438.298014745305,514.563110351562,436.282857533484,515.184020996094,2.01515721182102,-0.620910644531932,0.998738943548316
"M438.2974T512.8",440.312584621352,512.137145996094,438.297425006555,512.75800000002,2.01515961479703,-0.62085400392607,0.994458012423077
"1130",447.310954379888,383.533813476562,445.293983787347,383.546661376953,2.01697059254104,-0.0128479003910229,0.980450417578538
"1131",450.321275271884,387.78,448.306254981246,388.39900000002,2.01502029063801,-0.619000000020037,0.999832034932918
"1133",452.276959140911,461.787261962891,450.259429509035,458.768432617188,2.01752963187602,3.01882934570301,0.999693249203842
"1134",452.327585747589,373.221,450.312459674186,373.233,2.015126073403,-0.0120000000000005,0.952057526870568
"1137",453.280429099428,461.787261962891,451.265213040207,461.802,2.01521605922096,-0.014738037108998,0.974366618622796
"1138",454.293281434021,493.33203125,452.278004753147,493.346893310547,2.01527668087402,-0.0148620605469887,0.99992452590773
"1139",455.296233843693,493.33203125,453.281132350161,493.346893310547,2.01510149353203,-0.0148620605469887,0.996788659758314
"1141",456.298655913635,493.332000732422,454.28362717795,493.346893310547,2.01502873568501,-0.014892578125,0.99837656417168
"1146",464.194627317713,257.96398437498,462.176735716707,258.541320800781,2.017891601006,-0.577336425801036,0.99858491644893
