"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M754.5374T670.5","754.537428045623","670.464904785156","1511479.89771728","1505785.09334255","1488931.71527068","1484860.4188715","1501211.80450083"
"M756.5551T680.8","756.555145520001","680.778259277344","9640223.24490657","9530740.33488161","9407979.63262687","9339591.30543281","9374725.96181668"
"M757.8966T222.8","757.896606473792","222.780120849609","50827.6479108047","55136.4349695976","52636.0462957792","58158.0534614514","54366.6006028564"
"M758.5597T680.2","758.559654596684","680.172729492188","1074877.02213686","1088655.61386108","1086544.4317372","1085978.28425917","1082214.11790569"
"M759.5747T696.6","759.574662440527","696.551195800771","18081367.5835484","18067597.3118816","18184796.8970953","18170269.7326374","18184882.308451"
"M759.6376T731.7","759.63762536851","731.735290527344","1612887.90712278","1580531.25918529","1561771.47848778","1548802.64314469","1550421.99810132"
"M760.5869T712.9","760.586911633266","712.930541992188","23182995.4889989","23062766.0493409","23086801.9827256","23129737.2076386","23305060.8306923"
"M780.5547T682.6","780.55465237936","682.59912109375","10281210.7491915","14356607.4434819","8328011.83867965","8271518.56494475","14300250.1202127"
"M782.5617T679","782.561679607093","678.959106445312","539869.575029831","617408.612662782","504922.597045031","703959.918569008","635089.268760681"
"M782.5706T686.2","782.570645936028","686.238","17442862.9636352","16637501.6561552","16524340.9264706","16755937.1939813","16655654.5369312"
"M784.5783T697.2","784.578332059068","697.156991210928","2448075.01859914","1587135.63767792","1771856.13543119","1777621.03366466","3052465.05279484"
"M784.5865T704.9","784.586547201121","704.897644042969","25207538.4384971","25561199.1093869","25846721.5953161","25768434.7907296","25079113.9695315"
"M786.6023T721.4","786.60229250297","721.42399999998","23551384.60862","23335141.5700311","23391163.4306064","23281801.4114396","23336535.1763738"
"M794.6049T734.2","794.604897927732","734.162231445312","1104846.13162502","1086306.9164552","1096423.95718258","1102196.10078901","1092084.17298179"
"M795.0694T702.6","795.069351606922","702.617004394531","416126.292622157","414367.878335345","412258.279013357","406300.017651598","421671.36675323"
"M796.605T717.8","796.605000295592","717.783935546875","567634.642742669","568828.834332415","523940.431283787","569897.899692919","595399.486900752"
"M796.6206T736","796.62061361924","735.982299804688","1798553.97444911","1775784.22320855","1772052.70910772","1793253.21150761","1770742.35861712"
"M799.6678T749.3","799.667808931362","749.327514648438","984732.236570552","991375.796309048","982605.706727242","977329.333140299","956051.290738796"
"M801.523T669.3","801.523003735264","669.251892089844","127569.693806781","97862.5129524773","109551.184496851","97337.225997561","100057.929568313"
"M801.6837T765.7","801.683668398002","765.706726074219","422272.131300878","418865.021413766","415829.880769667","412843.768939495","399346.482746769"
"M803.661T654.7","803.660989657895","654.693176269531","40906.9817429275","43057.7170403391","46751.1525985151","55322.8657368786","54269.9700304643"
"M808.5856T703.2","808.585635924424","703.224548339844","8887844.16491148","8826743.23330543","8814640.88288133","8821905.88964062","8811822.03252977"
"M811.6037T737.8","811.603720256106","737.802673339844","1861243.60184731","1902494.05431733","1856113.83940635","1858439.96865481","1846055.66463925"
"M811.6691T739","811.66909559482","739.015319824219","4183105.51589769","4105538.76468066","4090895.10791013","4074470.31333848","4054706.05716562"
"M813.6857T754.8","813.68569832198","754.78853125","4923190.01414579","4823148.54656922","4637973.8376877","4666257.13552711","4581274.46831882"
"M816.5877T716.6","816.587657507978","716.570861816406","933017.102810151","921728.244852549","927858.99791047","926140.750820443","919071.706769572"
"M822.0918T725.1","822.091848642045","725.063232421875","413554.913083366","405099.079041235","418119.450332026","411853.680693667","410156.785061234"
"M823.678T828.2","823.677969184858","828.189208984375","63487.9110810722","65963.0460725788","82407.0943022305","84783.469192713","79962.1699288713"
