"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M285.2068T434.5","285.206789349717","434.502","145269.662206808","144998.143030294","147724.742367948","138869.459889792","147284.230548686"
"M289.8973T88.1","289.8972821476","88.1190032958984","232986.878657211","248007.307838389","232343.685617981","227009.130038933","249478.432261585"
"M295.028T226.1","295.028046124465","226.116256713867","134655.467615238","141335.063067798","133226.271658603","137837.541338621","134936.93167714"
"M297.0378T239.9","297.037763254521","239.869842529297","176446.607265769","187058.525998014","189829.276021944","188312.772603015","212955.086180484"
"M297.2431T464.2","297.243119382055","464.228363037109","303487.194067256","303570.751417433","309447.248301672","297322.451351377","305456.742586796"
"M304.0692T240.5","304.069165013158","240.470230102539","95021.7259330261","96567.2439608401","93504.2853216793","95780.2865299266","94137.090071885"
"M306.2965T464.2","306.296514417543","464.228240966797","981851.661797317","968789.080523187","938820.207041766","959612.236759539","986696.8791817"
"M309.2795T643.2","309.279496524676","643.183837890625","65162.3462798833","59743.2873694405","51518.0328468037","52145.5592082854","61486.1330753199"
"M315.2537T447.8","315.253669959282","447.848785400391","91655.7734000794","97071.6818169799","90082.5615593602","91750.9555570615","97723.1801319695"
"M318.9999T48.3","318.999858395845","48.3037033081055","59654.4051198395","59481.4871421936","52802.7529816735","53610.3410866126","55474.2777516044"
"M328.1171T36.2","328.117097047012","36.2451705932617","88708.8000114106","85296.30532038","89793.7033235248","87740.7787151714","84364.4039531466"
"M329.2329T384.2","329.232928321239","384.15199999998","113237.623507496","109466.321401208","107264.457304392","111220.307824126","112684.37729136"
"M339.2341T577.7","339.23413851782","577.6650390625","44686613.3546282","44423845.1318845","43457841.7993641","43592636.7272376","44434048.0341131"
"M340.302T333.2","340.302043068419","333.196105957031","58489.9201707296","60750.3328914774","53022.782609299","57247.2038788072","55469.0912680086"
"M352.0859T256.1","352.085871509154","256.121948242188","185397.726937473","179564.726036884","177118.805358756","182736.534632936","183378.793827796"
"M352.1122T247.7","352.112227058567","247.677093505859","7333.18731215697","6879.57898252402","8178.50924163444","7089.69807983253","6911.75119483487"
"M367.1583T325.9","367.158306908179","325.919860839844","788579.262224635","785900.645659951","766703.986804766","687336.349546928","787269.953032508"
