"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M185.1181T353.8","185.118135210104","353.821258544922","203653.725501482","202681.357474657","213878.910911446","200562.843473588","204225.262133991"
"M187.1338T358.1","187.133790667796","358.067352294922","158141.00962766","157106.596622388","156520.490001514","157013.70725154","156648.079465592"
"M193.0901T299.8","193.090066969535","299.832580566406","78473.0502224881","82891.6002030637","68892.7692969915","62607.6562580825","75280.99146416"
"M194.0457T272.5","194.045714736852","272.497192382812","18613.3580854707","17950.4801528573","19153.6691969507","16684.3974554077","19765.2390493794"
"M195.8108T110.6","195.810825266749","110.564002990723","530116.371082384","618835.13615313","539327.060558002","537395.245913559","644903.770899482"
"M197.0818T224","197.081822346915","224.001","97851.3364064688","99649.5875805098","101675.008639842","100819.330353983","94525.294129711"
"M199.0975T267","199.097493324894","267.029541015625","66263.3912491215","70047.4840097798","69485.6852825388","70742.2471273966","67898.164049666"
"M200.129T298.6","200.128981501273","298.619186401367","44898.1083837175","38436.8355992138","43058.3173080689","38478.4756923461","39989.9305845609"
"M201.0226T203.4","201.022561921907","203.408172607422","96065.4738290797","91327.9972893807","90070.0449343222","98251.8214828262","93938.6031092403"
"M203.0828T48.6","203.082780285768","48.5702877044678","125162.766003151","119046.946000859","132674.134433195","128506.936825436","124487.673196069"
"M204.9464T332.6","204.946417825343","332.590118408203","141206.157159445","130790.014008793","136351.066547945","136402.751126734","140615.346068522"
"M205.0116T239.9","205.011635132932","239.880889892578","35921.0934401158","36611.5865781679","38296.8400860383","37624.7865149624","40107.192300026"
"M206.9391T33.1","206.939112319271","33.0512542724609","74380.4602561304","66542.8380242082","71261.0136479733","72007.7940526824","63242.9911490326"
"M211.17T418.1","211.170038888825","418.123474121094","12215.0602424275","14134.8338490235","11834.9854936668","13285.1885569334","11714.8120013574"
"M212.0026T56.8","212.002640068357","56.8479652404785","1210653.14504294","939563.333384026","964282.074254105","922795.374375381","916764.543775485"
"M213.1495T392.6","213.149531834264","392.644989013672","108366.338103911","85369.3153160653","97283.0668832744","107189.573679434","134883.898471498"
"M215.0021T151.7","215.002070399832","151.736236572266","142925.531086017","139424.366847858","140788.498324552","139872.204275795","134240.174164571"
"M215.0376T253","215.037550462116","253.012435913086","112797.960071035","111551.629698665","109441.378650107","118830.337100587","112874.458339729"
"M217.0177T194.9","217.017668843095","194.921737670898","208906.47681339","160384.831036963","156254.534201448","164196.617474902","157778.57677108"
"M217.978T334.4","217.977992126253","334.410064697266","35093.2198596887","31218.4726587356","30830.2579470996","35999.2056276123","34996.1366027521"
"M218.958T36.2","218.957956640964","36.243968963623","28025.9256629452","28518.5403247905","28062.8115814819","28691.6409488866","28666.0153136377"
"M218.9972T47","218.997212003329","47.0403213500977","40721.7966779423","43219.616045486","50494.6751010241","45959.5568365517","40961.6550842442"
"M219.9752T334.4","219.975172024864","334.411956787109","19625.7202673354","20629.0963064405","21793.0770543834","18816.8079454668","21600.8283369255"
"M221.118T274.3","221.118020721428","274.320678710938","99070.7939001488","104973.330006076","98616.9072000362","97449.0524744081","95929.1061817932"
"M222.1133T312.6","222.113310076231","312.571411132812","19304.3391596438","17526.8450374108","18335.1832486355","17619.9577944759","19743.9780827831"
"M222.9383T290.1","222.938331146413","290.124633789062","66987.2333904096","60687.5902505951","57942.3177505762","59690.853929487","65113.3051713453"
"M223.0978T322.3","223.097754305057","322.277587890625","67359.9574527538","54856.2427590904","60762.3165389754","52043.5048759259","56466.9836000232"
"M224.9992T240.5","224.999207525191","240.471267700195","107611.529414312","89012.172418379","104942.218963168","97296.1417572459","100744.215369813"
"M225.0699T248.9","225.069931730736","248.881607055664","973070.249190038","1025418.22057377","985261.919692916","985704.731254007","922363.072397731"
"M225.1129T298","225.112912990634","298.012969970703","104469.976897671","102095.600694769","103830.765587081","102235.662897467","102469.064604815"
"M225.5714T248.9","225.571379910462","248.881607055664","224010.76757767","234346.453540802","216527.728321503","227508.886463939","242139.754484912"
"M226.0697T248.9","226.069714300557","248.881607055664","137559.080262955","132199.395919118","134139.64309447","127543.365484508","134482.145307712"
"M226.5709T248.9","226.570920322155","248.881607055664","23074.9550303362","23612.1745674162","24805.1757229614","24501.9372367477","21876.4610159546"
