"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M220.0771T36.5","220.077103265451","36.54400000002","0","0","0","0","0","85430.5287487758","95496.5390143087","84702.3273062712","84528.3611331266","93613.3135083681"
"M222.8788T32.9","222.878781850277","32.9049987792969","0","0","0","0","0","69811.6142212862","67925.0647350245","66560.0144443931","66311.2886446721","66052.5134131488"
"M228.063T192.4","228.062994807419","192.447067260742","0","0","0","0","0","16521.7668902868","16080.6309487675","13736.9302217174","18006.3530443638","15488.4210886993"
"M239.1638T464.2","239.163849266959","464.213653564453","2250.25919899744","1416.783226011","2315.90382154077","1306.04801772887","1089.55285920257","153564.146642945","146652.737232568","152131.516158584","145761.525084733","158989.013814584"
"M242.0599T85.7","242.059887160971","85.68","0","0","0","0","0","93674.2692431118","124781.496765548","85779.945854426","135125.142634084","124414.686562461"
"M245.1356T94.2","245.135644699427","94.1730194091797","378.095550793942","1101.97188056151","1276.5098060497","1295.92734994766","926.329041506186","39761.1845108769","40534.3413686031","41079.188076939","43883.6258914775","50691.1799685996"
"M246.6239T493.9","246.623884718992","493.938018798828","0","0","0","0","0","87219.036024925","88877.8653172776","89138.5305334995","83608.035984338","81896.0766410121"
"M254.1746T307.1","254.174614249032","307.100036621094","5657.73025868903","4267.69481783888","2282.3216248507","2720.53580759725","2153.66059296197","42269.2394267081","45610.5217142025","46127.8405249814","51297.4973573648","55318.7563461156"
"M260.6395T537.6","260.639546761824","537.615","0","0","0","0","0","128358.614451237","122501.125504546","124895.84571411","128020.494942472","123030.125940926"
"M261.6179T442.4","261.617921586994","442.37599999998","0","0","0","0","0","96924.7256263514","91869.67974366","93241.7946946894","92913.1060540708","88817.9466347612"
"M263.0888T337.4","263.088789870699","337.430969238281","0","0","0","0","0","281522.080892879","269487.683009742","238021.177013462","264916.13011106","251873.42168994"
"M265.0832T346.5","265.083189041646","346.529998779297","35484.4948707563","31852.4564198589","35200.2172919192","23372.6882882546","26404.9029591042","130926.372713806","117203.267249383","120281.169071265","126026.9298629","123914.722762354"
"M267.0425T72.9","267.042461023092","72.94099999998","0","0","0","0","0","320947.609099625","335779.821197846","352822.203016205","335883.634257317","330326.703273523"
"M268.1545T314.4","268.154493369777","314.378997802734","22853.2714801749","24823.6291540908","20718.4083004882","23239.8397296414","29047.5307004592","78590.8939433991","79299.9035515481","75611.6599669187","81388.2631994867","82025.5309429931"
"M273.6657T517","273.665675868967","516.99","0","0","0","0","149.387950514776","124646.146206039","174265.900727746","129898.088100484","131121.922164096","105133.251323729"
"M274.6553T509.1","274.655297939786","509.104064941406","0","135.037184527657","0","143.828711223092","0","263986.81512612","268644.0538774","273119.256819706","262981.55544167","262454.194584341"
"M283.2417T251.3","283.241722575452","251.289901733398","0","0","0","0","0","104955.777354285","105039.471802182","120533.337106398","111560.554317135","108676.984665288"
"M283.9669T108.7","283.966927690896","108.731971740723","0","0","0","0","0","47590.7084223816","49644.3367236665","46730.9597734314","47209.3730361035","46301.2269599042"
"M286.6258T451.5","286.625838622003","451.47499999998","0","143.232377171516","0","0","0","164140.874832378","161103.974613863","148248.189771316","155798.92092206","153566.137511309"
"M288.1354T472.7","288.135387458713","472.707","185.62910990448","336.409809112549","0","559.338864735711","270.602473988253","784649.180092458","780543.178654672","742323.258495705","752084.524473302","759248.276962144"
"M289.6494T531.5","289.649358495238","531.549011230469","471.961883228611","822.847573554447","261.415640825276","510.578564174473","816.916716639799","1055959.48869571","1060552.53425578","1055358.71522422","1044482.54881297","1053976.27656683"
"M291.0313T285.3","291.031318517448","285.26200000002","158.746337059792","248.446223258215","0","0","687.016551115197","120553.698620752","121899.070354015","111666.092826093","116400.395099514","119061.846456043"
"M291.0903T421.1","291.09033850275","421.144006225596","0","1017.53874105122","0","0","0","130744.115524421","123200.287019828","144545.012147128","122560.84482021","116667.527179843"
"M294.1551T35.9","294.155073444931","35.9379997253418","224.231778589042","0","150.335087106687","0","0","892237.980978341","899283.34045663","975996.636752132","965297.912437894","954514.776226745"
"M297.1677T285.3","297.167729944393","285.261291503906","3298.67912069582","2080.14688455746","2165.57089615454","3895.39852648255","3596.12634257001","115498.830992133","94307.1226301185","113672.289889694","130439.437687486","106589.407721529"
"M309.0214T108.7","309.021381859235","108.731971740723","0","0","0","0","0","132179.512847168","126132.272560649","112018.103423369","132054.625568583","125235.928204789"
"M309.1514T561.3","309.151446803846","561.273681640625","805.877218801852","2095.01019235393","1248.2445232","1103.36250706098","0","127372.652313995","126504.217140474","114910.241671428","120215.58121366","118341.556109819"
"M312.1591T388.4","312.159131323278","388.386657714844","3566.42611230695","2550.65981480839","678.831278396615","1771.25189070787","1922.56862366766","273222.224647635","265819.727234096","268960.734940318","273541.980832556","260478.088714486"
"M313.2368T413.9","313.236816274252","413.863983154297","4691.30976989241","2659.13386308205","5402.87346091769","6156.80758261702","4870.20849295508","99093.7020953158","101649.138495837","95724.7508626919","156718.187576861","99405.0898243958"
"M316.1543T216.7","316.154269408902","216.714126586914","0","0","0","184.858939504309","0","16642.4675480957","17191.0391860902","14629.6482614322","13395.0904871644","15264.2559662814"
"M318.134T286.5","318.134047520235","286.471343994141","200.703246278067","0","0","134.851184545706","0","18681.8343481181","16733.2805242984","17329.1130929721","15177.0989956776","16470.2149378669"
"M321.239T514","321.239043528283","513.95696875002","46209.9603267608","51296.7025658037","40426.6097728889","46991.7199162167","38873.4647661248","216149.395746889","259130.264460238","238851.527033859","257423.087233885","239137.095618767"
