"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M398.2196T421.1","398.219643478503","421.14400000002","0","171.276340196626","412.549060196258","187.329486959303","0","15704.7376263524","13798.6827293178","17483.364302935","13190.0938312029","14089.0076831054"
"M398.2391T605.6","398.239121307741","605.55799999998","738.657259758248","825.928814404263","559.403613850555","0","984.371440450703","86799.4147906652","87668.4806149646","80015.3485086827","85383.8764557709","90263.8979019487"
"M398.2567T680.8","398.256674693892","680.778259277344","407.288582006836","192.445090301514","545.363778131103","1046.76645805179","516.84215625","130852.234541931","133315.87650971","139513.046182857","122209.289869145","129627.315840015"
"M398.2955T617.1","398.295492947382","617.08349609375","465.597769685462","668.851928148326","514.04926487077","0","903.480821453035","9231.58655243375","4956.20568021505","11042.2329825407","7535.44473695849","9587.18226105373"
"M398.3264T413.9","398.326355558365","413.865","0","136.74239499992","751.263591725676","401.378159327387","0","402801.84443449","396675.007800466","390240.143799317","388510.721892093","380099.768530551"
"M399.1561T243.4","399.156128446418","243.404685974121","659.725265343154","334.791643225308","400.635506746065","0","339.27428906621","150566.43646388","154402.375620343","157620.508097937","156921.349096495","150675.106465477"
"M399.1599T395.1","399.159868490717","395.059417724609","576.827664616303","322.445783087697","0","0","0","40180.6895693224","37834.8850349647","44026.4173312812","40338.8257305802","35669.1392171223"
"M399.2156T594.6","399.215564745401","594.638549804688","20742.5767700505","19432.505870134","21123.6573466299","20251.8833178561","25573.6046750978","89872.2448291265","76345.2286479182","85534.3000970945","82799.1087094759","89634.3526064923"
"M399.2488T598.9","399.24880103324","598.88500000002","1228.35964898929","1138.89293581587","2138.19896749069","0","3413.20557725494","38926.4677143877","42111.3333313212","43848.9327182969","42428.2175665152","41754.393885706"
"M399.2984T731.1","399.298363586593","731.129272460938","0","0","0","0","0","23786.8417658851","35147.7853440595","32495.7218536399","33620.3077686766","36019.2291213352"
"M399.3038T561.3","399.303807560748","561.273803710938","15503.3341664962","17988.3718741715","15167.8342490121","19259.13612403","17124.1090297946","71804.5756234174","91157.5066603879","70967.7063008493","84233.3166509205","82341.9939817309"
"M399.3286T594.6","399.328553380861","594.636993408203","4494.23489381402","1215.68521942628","3299.92316201258","2657.02325923581","2615.42236419481","41297.5649027081","41015.7374282052","41120.6938017769","38317.2061440925","39169.8556136941"
"M399.3295T413.9","399.32950214416","413.865020751953","0","477.571818334119","142.178843388715","229.141041950283","466.492041870521","99558.4672623823","103319.346451191","101101.805380829","98574.2485915607","98029.6605729085"
"M399.7649T677.1","399.764886531168","677.138977050781","1090.44964847656","458.157977758119","0","606.797146724761","0","480029.073324291","484300.921212633","479279.403190472","508828.976390203","507267.87667152"
"M399.7704T713.5","399.770414163485","713.5361328125","1300.98199507458","982.428816762151","0","0","608.182143849991","312262.205867788","321565.748975552","333202.657080788","319306.016986084","329285.769038628"
"M399.921T32.3","399.92099843105","32.297004699707","0","0","148.942086011433","0","137.816523017711","8365.18709997164","8876.75739425918","9107.96652164565","7390.70562876063","7343.87499434374"
"M400.1689T204","400.168890301773","203.97499999998","0","0","0","0","0","511492.701233579","514611.282420297","519402.74175081","506458.013244785","504480.350075537"
"M400.1688T60.2","400.168772157063","60.2019271850586","0","0","0","0","0","19235.7473793899","20933.3926801287","18855.3429810209","21846.2094645948","20463.9680418091"
"M400.1962T345.3","400.196150316947","345.317047119141","333.625514434543","490.665305226706","0","0","181.081040745899","24201.7546947453","21444.1003762433","20152.8683984424","19766.2702803725","19890.9583546906"
"M400.2134T594.6","400.21338917019","594.6388359375","16232.9380544725","13916.9147910404","13925.2400338301","12779.1978168359","14195.237855501","40826.5785209841","48290.9033898697","51624.6934430828","46983.7983655149","44774.2945244155"
"M400.2669T677.1","400.266893153543","677.138977050781","484.034046262503","463.138750638399","1101.2264937477","1601.81589708391","438.846378724736","221496.386372303","224592.558891457","230979.470444727","229822.906352411","238550.945791765"
"M400.272T713.5","400.272015042252","713.5361328125","544.117879568528","326.461882262992","518.182066374673","1025.78345663739","0","151034.438501592","153050.251812576","152943.927350173","145878.693002795","148063.731281047"
"M400.3328T414.5","400.332821288612","414.471","0","313.824257457939","608.568029291928","1087.33229098221","1524.27677511548","14702.9460712646","17352.4110442658","16292.1993988381","16093.0130677743","15774.5762282574"
"M400.7653T677.1","400.76533988674","677.139","470.207458664763","490.278541778024","0","0","295.093393099268","706488.602328095","700514.849928734","722635.01866323","711904.126285478","711886.340321525"
"M400.7728T713.5","400.772752110623","713.536743164062","157.333536901824","0","0","0","0","43277.372114182","45639.205373231","43498.4267672422","41622.4113111351","43251.6822990212"
"M401.1718T204","401.171754521802","203.975048828115","0","0","0","303.172861044415","143.653520637517","123861.568121219","118466.045860563","130025.894410507","128797.005292831","121895.97084668"
"M401.2147T594.6","401.214741387801","594.638854980469","5281.2839665507","8943.40007400848","6760.25925292873","7721.53357204951","7662.67573274134","29716.9525864239","32395.7394202095","31599.1467408363","38604.2025891531","33986.1415782932"
"M401.2565T594","401.256515568761","594.033142089844","2246.19836754962","7780.73623748309","6358.85699659692","5545.59911542153","1360.00839342605","73522.8721284486","74588.5114125948","60349.0420395753","45957.9404478358","55851.2533994018"
"M401.2661T677.1","401.266094895725","677.139","451.216798586535","1220.00916105018","192.036607486617","630.656187844468","324.586764855759","434391.707879464","435591.873723559","444431.765931796","435035.320571819","439374.877314457"
"M401.2662T537.6","401.266195175766","537.614868164062","1004.28355487629","1834.57227908772","997.22956732859","1045.35416384109","1035.4604690222","110497.050624988","108773.82178347","115611.777869835","109843.997550366","108784.023460909"
"M401.2872T437.5","401.287249293509","437.522125244141","6203.54277683515","6197.14980005858","6310.3423230815","8711.13110269232","6539.37656538479","22547.2790933403","19984.6800440175","24683.3453520182","21868.2805974955","22040.404726591"
