"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M106.9918T495.2","106.991826021832","495.152069091797","707836.194850445","739212.232744319","734983.13695693","741829.803689616","718090.970597608","365489.099888064","343979.985281037","381574.991797988","365961.02575491","361822.008188421"
"M107.0703T223.4","107.070260040885","223.386169433594","150351.915734807","138867.323191197","144911.12109065","127955.223195367","133787.26606209","149235.239988766","134828.58807639","138321.766129918","153584.625428144","154020.939268824"
"M110.9751T352.6","110.975095189641","352.596435546875","15407.7608134359","14164.4552974736","13214.163141209","14067.577833014","14250.7737205978","12405.9963178206","11490.5589281859","15890.089788958","12356.0222411156","11127.4589830049"
"M111.081T35.9","111.080982960236","35.9375897827248","61471.2283129028","65566.2569360238","60724.9361134815","60435.4736219437","59529.8955830547","6410.46040667668","4388.42692682426","1233.90985854063","5580.13018103089","5347.24265774997"
"M111.1167T155.4","111.116748028332","155.441421508789","54012.9723982316","157057.10636222","223834.897383014","570927.007175297","676833.232921521","78516.869066703","249609.875449712","69738.6207158172","150779.333979744","301453.324589943"
"M111.1168T481.2","111.116802876319","481.19899999998","35005.2011550574","36440.0647525242","37568.0997267674","19352.0311101309","12701.9490261911","24632.6717203308","25010.5692847874","22601.0290984736","28339.3498116494","24085.5728156889"
"M112.1119T71.7","112.111924443325","71.7280044555664","0","0","0","0","0","8980.61178762422","8627.50267470704","10142.0377178866","9777.32827794606","10509.6709683549"
"M113.1323T617.1","113.132326836779","617.083984375","344.405508950113","290.630767725618","508.603760208245","0","747.100369418984","155456.348249912","159511.999856327","158664.144986038","156818.958998516","160424.211868596"
"M114.0663T42.6","114.066265956959","42.609992980957","0","0","144.409273519819","0","399.517164489119","1526374.80155022","1512758.88217266","1436408.28948918","1943063.38172011","1946137.97230312"
"M114.0912T62.6","114.091174897526","62.6278533935547","247211.057995312","234429.624071254","229544.413686662","232024.71908236","217623.625649515","125327.431553009","125202.373632218","135226.685719073","75866.7534270645","58631.3536145789"
"M114.1275T143.9","114.127487604878","143.918182373047","0","0","0","0","815.868143557206","45338.0274680321","50818.6031683698","54539.5275495483","55371.6862933045","56058.5316497159"
"M114.5022T314.4","114.502207089613","314.378998901367","38867.1558763088","38063.9330686446","38106.6510232177","44087.9635471713","44098.6314604046","56944.3377446468","60145.8874991293","72138.771030334","44958.324857158","45933.9440827819"
"M119.5414T254.3","119.541355028701","254.323699951172","217.103471506115","547.907523302888","364.233424438746","408.327345481744","208.632107475035","31680.0617979947","33323.3360824437","57107.1131202787","30327.7267645349","31154.9377285575"
"M119.9933T407.8","119.993260441614","407.797727416982","21940.5494828769","24510.3340800396","28125.2688953039","22649.2669434004","23559.01564988","23495.3107883564","23823.6971117739","25734.0976117385","23467.7764683548","25950.0469769714"
"M120.0809T36.5","120.080935176546","36.54400000002","0","0","0","0","0","1127118.28216158","1123896.92197199","1170261.62835425","1156934.05603852","1183191.03038428"
"M121.0836T35.9","121.083649376883","35.9370040893555","7853.63894364791","5940.29908428192","5342.33026307705","6557.17780926041","8131.42343485754","89304.4786081174","89317.562069892","94034.2146301085","91653.3687607555","95669.7345746412"
"M121.5568T223.4","121.556849039193","223.383636474609","6963.64606291419","5832.83121134861","5344.82502758154","5247.31727150443","7086.1745765002","7307.23534912109","8358.80155303841","18052.6038055018","8365.34048866265","7137.26055422974"
"M122.0579T37.8","122.057881774709","37.7570037841797","0","0","0","0","0","2170936.9870963","2028794.35738403","2039999.53747608","2132106.21735261","2042985.63156254"
"M122.4885T314.4","122.488512331068","314.379058837891","18013.6934917836","18691.5690360526","18550.9462872152","20716.6170099243","22321.0650316223","33163.2535158883","28991.9224665324","22016.2942943708","21451.4097152062","22153.7628604535"
"M123.0609T37.2","123.060907442658","37.1510009765625","0","0","0","0","0","114577.630235801","113372.9871538","115342.149383638","106881.315892031","111382.425037494"
"M123.5074T314.4","123.507439075351","314.378998901367","20874.6335934296","24886.6412643792","22518.7130321412","28343.0509099208","25976.1086733041","35286.4679416925","31870.3248036804","39594.9718659994","24220.2541122859","25993.4963427144"
"M125.9863T606.8","125.986327966777","606.770906494141","2905043.85360111","1999010.48367397","2275636.26100267","2179526.74604399","2164392.80307225","3486677.27080695","3471052.52463542","3517006.63517015","3318081.69640927","3324170.80323257"
"M125.9863T594.6","125.986315433424","594.639","24739301.1142171","22862835.8570181","21923110.8211451","630743.580421878","22752206.3837588","21997317.7662997","22637983.3635416","22613735.2108292","15558161.9235809","3287756.57970384"
"M125.9863T560.1","125.986253322028","560.059814453125","2565869.46660347","2634992.11191575","2403515.10262909","2458654.37364159","2494225.23925883","2346917.0479127","2709940.5321967","2450113.76068239","2555779.34446876","2554417.14309961"
"M125.9862T728.1","125.98615283607","728.096252441406","967193.995205077","844419.943194411","810689.966043635","980371.019236502","979369.787470289","279777.069121291","281243.523829513","298579.270723986","282077.435531249","282791.235790722"
"M125.9863T577","125.986301037203","577.046142578125","3287146.20106586","3151917.7364333","2281849.13366851","2570105.78470264","2267927.75100483","3511389.1152266","3591653.39131036","3650280.89239655","3419504.20238793","3428718.65692241"
"M125.9862T666.8","125.986242408638","666.82699999998","3601646.83262845","3274557.4175648","3282191.76457783","3292514.89996515","3247780.37868772","1940152.68772001","1779658.0576223","2113420.94891752","2082655.81424155","2341422.82651622"
"M125.9861T71.7","125.986129727876","71.7280044555664","2690533.02246497","2990706.918749","3115269.82306332","2893818.715581","3022723.24025898","1336435.77716317","1344582.71774252","976805.986400539","1381895.64979928","1410434.92224325"
"M125.9862T495.2","125.986216552431","495.152008056641","2572799.0431806","2318009.90766864","2317673.14388902","2416128.1758575","2517450.43485632","1166014.54596419","1223314.84918828","1295386.62034544","1210658.79402","1107159.7559179"
"M125.9862T689.9","125.986226857818","689.877716064453","2552966.8380514","2347183.18867204","2335844.06796134","6757353.27754633","2361604.93521014","624176.04675571","634140.268239616","641265.658960625","599009.303714743","613928.760690693"
"M125.9862T481.8","125.986221379119","481.805969238281","2551676.84610251","2499292.27205131","2422783.46290697","2509230.87146514","2510367.33831232","934859.812452239","971395.787851872","1010984.3477838","908765.977241737","901273.391286755"
"M125.9862T706.9","125.986228091718","706.864868164062","2248904.87816605","2044543.55557737","1963480.50402602","2150727.78534166","2194272.48723525","318552.051321401","334863.650348888","353107.888201919","332238.896375052","321722.40260529"
"M125.9863T637.7","125.986304890888","637.708679199219","2738735.08276324","2514898.56382955","2509101.95136993","2481468.0893319","2425651.12961663","2677285.49992888","2643773.32316191","2762123.19185222","2643109.6722204","2617919.31099609"
"M127.0363T34.7","127.036267353473","34.72399999998","202.486098650636","395.526580982635","0","893.487313344661","0","25119.7066338103","29390.2378953923","25545.691631813","23782.9939578029","30517.2599961293"
"M128.0252T221.6","128.025188681893","221.567092895508","0","0","0","0","0","25786.9265200187","24375.8997071861","40471.298777238","23326.1251841078","21159.8932269329"
"M128.1016T35.9","128.101632447278","35.93800000002","225194.242208409","220639.488902274","227112.016930346","223153.187295411","224295.82061825","24626.9783929422","19272.3749255342","21954.1430236215","13017.0895692362","22997.475597681"
"M129.1048T36.5","129.104844874698","36.5439701080322","3314332.49649945","3245037.85413976","3342868.89877001","3245989.69944672","3362529.81081182","361342.026984699","349760.873713148","376461.369755866","382508.222722063","379897.614912591"
"M129.1272T155.4","129.127227735594","155.441078186035","8174.38409531997","22271.4073207901","27233.9050757677","77602.0214758799","89253.7315671752","10503.7208366018","29795.0856635129","10232.1865036409","18813.8649747154","37715.1906487376"
"M129.1273T377.5","129.127257962318","377.456314086914","123194.698780957","117591.869067924","120487.093160394","121677.126855468","115135.924599962","110782.476526016","110982.6820873","107796.252524432","106473.252872197","99611.0043138851"
"M130.0648T192.4","130.06480820032","192.447067260742","839.694269963157","1107.29098905261","2833.0429393075","1075.1339525078","1582.54579094365","66731.0687009885","67028.2270596377","59531.6892666214","64242.0998583322","66208.5304363036"
"M130.0648T222.2","130.064788759126","222.173095703125","5151.61237840137","3850.72404336989","965.919837948866","4372.3917287086","4060.94317387819","79904.1076400379","84706.837948312","86852.1143115212","72052.0406443966","79873.0707369787"
"M130.1591T47.5","130.15905420015","47.4628791809082","28635.5766167317","27001.461418602","26285.1342699943","26543.2863224616","25781.678955196","65060.8297683484","65604.4854944458","82602.0426797333","81875.4997558723","83830.5065379765"
"M131.0492T35.9","131.04924700609","35.93800000002","0","0","0","1112.92640382155","839.932398412391","61638.2696252036","55160.0231049792","57691.0585798298","65335.1200340347","59945.6288922507"
"M131.4938T314.4","131.493818890972","314.379699707031","10256.1176566955","10929.5157978149","11840.1796632535","14315.0929214171","17281.752398387","16825.9309453674","19291.8501322179","14442.1297625952","12561.652041505","13122.9302941668"
"M132.1027T34.7","132.102701513522","34.7240028381348","452098.208278738","442943.593745801","451529.910792097","441470.635363477","449421.010334154","25415732.2418413","25418370.8730495","26096317.9957366","26091596.1240283","26131705.8986764"
"M132.1019T59.6","132.101899981534","59.5949287414551","16910.0462403786","20482.2635645604","30341.8832148963","22517.3601251893","21985.3171886711","3634684.73411337","3567799.19226017","3788942.84601563","3790757.11252725","3796859.94919922"
"M133.1055T34.7","133.105488068723","34.7240028381348","25641.7405335545","26971.8073454223","30168.1481171737","26283.5537081201","29422.7500606174","1716307.65174489","1766875.02510075","1806109.03547545","1777447.05575047","1815889.9514424"
"M133.1221T424.3","133.122122089678","424.265274047852","59656.259654161","55573.2992229847","57687.1005248307","53074.3500784423","59655.2471849053","57490.5224871225","59416.5204786133","53241.0920046672","52269.4436220199","52314.9935224117"
"M134.107T34.7","134.107003479783","34.7240028381348","1450.60106326605","1642.99764029172","986.431685444538","0","1041.85386807695","151903.623666062","148641.879180985","152242.751620919","156281.796527136","159636.291900825"
"M135.0029T32.9","135.002934267905","32.9040031433105","0","0","0","0","0","1180912.56464465","1347216.6544867","1214050.32817167","1177431.46727695","1239942.32143626"
"M136.0748T33.5","136.074784664131","33.5109977722168","1050.64012765252","1113.81428428202","1448.47091091915","2417.25376133321","1230.70342649537","34698.8107629982","42909.1332221572","41310.0036593262","40020.3810239518","43808.8014126688"
"M136.0731T62.3","136.073086812762","62.3253479003906","24211.7767195803","14796.5479016289","16751.0859875242","18628.5235110366","9069.96194166325","167339.972896531","143350.322418018","124374.26365387","126892.319450226","124915.089390808"
"M137.1321T219.7","137.132126054451","219.747055053711","210.730808079458","157.897669903568","0","0","158.595075128267","17919.892621158","15515.4995787635","14524.4967573719","15160.2997210336","13355.1611328508"
"M137.5232T314.4","137.523243984764","314.379058837891","53075.6786079712","55464.3346871613","49908.4910733415","61536.6050197061","58655.3805639652","78058.0429273661","78004.6414004692","98264.0768160446","62388.6231501833","66906.7738342539"
"M138.0335T284.7","138.033545578122","284.655181884766","4444.70645986005","1511.88283507872","2407.88730297806","3863.85478717824","3708.73152687986","27076.8532447216","23633.6499291137","40802.4339479812","30018.0197619545","23963.9384427266"
"M138.0535T33.2","138.053473146102","33.20800000002","538.459443730165","1055.66576921699","1275.81110370686","294.783085702007","445.866162188303","48336.1874591514","52357.1210654738","45472.7899393066","61562.2264372508","53341.7480838179"
"M138.549T336.8","138.549033146347","336.824096679688","0","0","0","0","0","19541.1054881036","19387.7204039422","25373.621685124","17410.8997999734","12677.2149196482"
"M138.9062T32.3","138.906244509366","32.297004699707","0","0","0","0","0","101600.819710693","113031.449588672","96738.0842269484","91072.7429215366","105394.593281482"
"M138.9063T43.2","138.906297583217","43.2159843444824","0","0","0","0","0","93062.853708948","95765.7571741049","84691.8990328018","81527.5477615477","79168.4431743245"
"M139.9632T495.6","139.96315125429","495.615325927734","301614.396032814","434356.046443323","446945.26683559","447692.871702909","435561.424017191","229774.139568965","236976.198016982","219438.121940544","246234.722586603","226835.695991048"
"M139.9631T481.2","139.963097925177","481.19899999998","439122.95556254","451358.902736371","448482.635668397","425325.963979355","434387.564133883","186381.602983696","189935.538374728","195956.848050707","194539.623438058","192935.757747007"
"M140.0683T604.3","140.068264680985","604.344848632812","2091795.58694328","2006794.22313414","1985678.67852442","2146268.95451206","1531057.9914307","4361275.9940169","4287828.37027279","4170884.62145616","4325124.71063396","4301859.53052442"
"M140.0682T577","140.068236477593","577.048400878906","1095415.64617509","1090536.92823286","960030.258134266","1100341.164534","875225.510851566","2579610.64155967","2487584.5849332","2398362.28784483","2417352.77127802","2383381.28755603"
"M141.0904T293.8","141.090396808928","293.754150390625","14267.1641649911","17237.979647312","20433.9057772023","20355.2633184901","20842.2287000111","16498.8163924153","20135.070817737","20526.9558935883","11870.3601413302","20484.0578019794"
"M141.1097T43.8","141.109722819379","43.8229904174805","1576.92143085097","440.915137674054","942.590195540323","1656.90540466283","430.695961586727","76764.2300016481","67789.6246727051","76563.9531665754","78715.018242071","76107.672518886"
"M141.9586T624.4","141.958589870611","624.363","4512265.96217833","4354199.41722863","4373420.42658648","4433681.56694873","4153767.67138274","9860002.16899162","4043832.53257894","3780654.1311707","471906.770914021","296307.932531247"
"M141.9586T481.2","141.958612952128","481.199005126953","0","0","0","0","0","3010403.56453915","2930811.77164798","2895128.25256234","2818548.84690763","2872301.09058285"
"M141.9585T689.3","141.95848118677","689.271423339844","2173608.23564696","1961595.35355045","2228752.72259027","2400778.64012311","2651603.09812681","947969.335278706","971426.647995733","989625.990054418","1031068.08211438","1085547.57412573"
"M141.9585T706.9","141.958474807615","706.863037109375","1565992.48563958","1505251.40435173","1593291.13466103","1972053.9387765","1976444.47309603","533261.735919588","566463.648559198","569659.140526232","582342.558224816","618570.594382059"
