"","mz","rt"
"1",422.198,604.755227272727
"2",397.1684,605.300050847458
"3",279.2328,578.230433962264
"4",408.2835,373.641923076923
"5",614.3668,531.630333333333
"6",662.4213,604.982659090909
"7",303.2328,578.367738095238
"8",912.4917,553.355658536585
"9",400.1557,594.283105263158
"10",239.0597,509.318783783784
"11",729.1766,618.9265
"12",325.1846,477.648371428571
"13",448.3066,371.648323529412
"14",290.3017,576.005666666667
"15",255.2328,594.384129032258
"16",925.6622,754.787
"17",719.5352,647.668612903226
"18",224.0625,239.7796
"19",238.0782,250.010107142857
"20",339.2003,500.268851851852
"21",666.4527,636.299259259259
"22",379.156,454.427307692308
"23",339.2341,576.804846153846
"24",425.3632,609.946576923077
"25",940.5503,689.693461538462
"26",803.1952,647.347076923077
"27",75.0582,34.74928
"28",782.5029,454.55332
"29",844.5153,477.9206
"30",535.3995,545.91348
"31",313.0781,586.58108
"32",923.646,739.87276
"33",341.2693,520.105583333333
"34",583.2559,552.23275
"35",859.6899,778.25025
"36",698.5354,686.912625
"37",816.5691,373.232130434783
"38",549.4151,558.072782608696
"39",729.1596,604.993
"40",809.6642,738.435565217391
"41",924.5766,729.374565217391
"42",951.2388,672.089913043478
"43",951.2325,693.319043478261
"44",895.496,647.64047826087
"45",473.3631,624.720217391304
"46",337.148,255.006727272727
"47",777.1785,647.466636363636
"48",207.8364,294.316476190476
"49",593.4785,614.865476190476
"50",854.6711,759.015571428571
"51",752.547,669.648714285714
"52",387.0968,402.89965
"53",295.1549,385.09555
"54",374.2448,345.0583
"55",540.3325,450.59525
"56",327.2301,594.44195
"57",612.2236,442.178052631579
"58",764.2897,499.951894736842
"59",537.4157,580.825526315789
"60",493.4257,595.559947368421
"61",872.5622,713.547631578947
"62",733.55,662.543578947368
"63",733.5404,686.998052631579
"64",745.5506,656.381789473684
"65",595.4942,630.137736842105
"66",230.8452,46.0400555555556
"67",162.8393,39.8053333333333
"68",167.0213,32.8798888888889
"69",411.9946,417.407944444444
"70",462.3224,480.159833333333
"71",375.1963,271.285555555556
"72",811.5117,701.256111111111
"73",503.4094,640.444555555556
"74",783.4668,636.114333333333
"75",152.884,33.1754705882353
"76",622.9775,423.694176470588
"77",429.3004,439.109470588235
"78",267.1239,394.790647058824
"79",243.1599,367.028
"80",664.2537,472.277117647059
"81",554.346,507.391117647059
"82",430.296,492.777882352941
"83",235.0976,285.326411764706
"84",735.3233,294.450176470588
"85",343.0734,569.393411764706
"86",920.5619,686.452294117647
"87",694.4105,636.049823529412
"88",556.3258,357.57125
"89",393.9681,357.1730625
"90",321.2186,516.566625
"91",611.1315,533.874875
"92",225.1129,298.57675
"93",280.6225,307.782375
"94",451.3739,604.8308125
"95",913.6451,765.2213125
"96",873.6891,748.6754375
"97",876.5964,723.1171875
"98",858.6234,725.5459375
"99",776.5446,689.416625
"100",471.3748,633.6835
"101",270.1584,34.4506666666667
"102",391.2849,430.8946
"103",311.2225,412.797733333333
"104",330.9792,323.564133333333
"105",311.1692,454.917
"106",648.3055,481.811666666667
"107",726.317,537.622933333333
"108",480.3094,537.2174
"109",367.2844,526.4606
"110",369.1746,282.0002
"111",610.3586,334.602733333333
"112",137.0248,239.7218
"113",489.4179,563.647133333333
"114",437.3268,550.8068
"115",951.6844,775.263
"116",832.6094,744.418733333333
"117",786.6016,736.512866666667
"118",313.0782,712.410066666667
"119",848.5434,670.632733333333
"120",531.4408,669.096866666667
"121",780.5552,696.516666666667
"122",451.378,621.780866666667
"123",215.0334,47.5737857142857
"124",507.223,411.2625
"125",265.108,370.725857142857
"126",817.5729,373.586428571429
"127",794.9491,478.315928571429
"128",165.0408,465.554857142857
"129",500.3594,456.823714285714
"130",592.3639,497.858142857143
"131",494.3258,486.982142857143
"132",522.357,531.484
"133",407.2072,270.709642857143
"134",369.1745,301.023
"135",512.2684,350.706642857143
"136",241.0859,345.807285714286
"137",207.0933,243.243142857143
"138",463.3422,568.445357142857
"139",267.0726,549.943142857143
"140",325.1842,594.312428571429
"141",565.4462,592.579571428571
"142",776.162,602.329857142857
"143",725.5295,719.623
"144",659.3835,685.951214285714
"145",853.5233,656.318
"146",799.1398,619.270857142857
"147",382.1816,636.299571428571
"148",115.0404,38.4507692307692
"149",189.0409,37.891
"150",469.0128,389.822307692308
"151",469.2836,492.481846153846
"152",473.1435,449.924230769231
"153",610.3355,468.262769230769
"154",634.3333,499.831153846154
"155",299.2585,486.509230769231
"156",537.1132,493.811461538462
"157",704.3356,523.211615384615
"158",704.3354,535.834230769231
"159",397.2059,313.277692307692
"160",528.2631,327.245692307692
"161",351.1446,231.305538461538
"162",471.2538,562.012461538462
"163",741.2111,551.325923076923
"164",311.1684,553.799461538462
"165",439.3432,577.364230769231
"166",854.588,737.019923076923
"167",884.6038,731.769615384615
"168",100.9336,708.534076923077
"169",749.583,667.889846153846
"170",894.2037,671.760846153846
"171",239.0599,672.180769230769
"172",502.2736,687.161923076923
"173",815.5363,676.942846153846
"174",747.5664,676.522769230769
"175",859.5413,656.084615384615
"176",179.0564,46.8156666666667
"177",103.0406,35.2390833333333
"178",102.975,32.7618333333333
"179",396.913,33.06525
"180",297.1534,432.724916666667
"181",490.3174,442.3045
"182",481.2801,388.795833333333
"183",285.207,392.814833333333
"184",253.0828,421.04775
"185",472.9872,365.945583333333
"186",424.9855,350.72825
"187",368.9706,339.2785
"188",441.2522,446.019916666667
"189",293.179,470.385916666667
"190",803.6457,464.875833333333
"191",795.6163,474.733833333333
"192",476.2784,479.334416666667
"193",279.6146,285.824166666667
"194",427.2155,299.671583333333
"195",369.1746,314.88925
"196",789.3674,314.396583333333
"197",304.1533,347.694833333333
"198",261.8893,238.475666666667
"199",246.0755,229.4575
"200",273.046,220.715166666667
"201",708.0887,586.5575
"202",307.2538,578.267083333333
"203",301.2381,594.544333333333
"204",119.0353,727.033583333333
"205",796.5657,704.139583333333
"206",896.5625,705.45075
"207",325.1841,636.400583333333
"208",925.217,692.71525
"209",519.4415,651.364
"210",208.989,108.538
"211",441.3274,428.335909090909
"212",475.2366,432.830454545455
"213",463.2881,390.670818181818
"214",351.2208,506.426090909091
"215",744.9525,462.472272727273
"216",694.2875,472.068363636364
"217",369.2431,506.646272727273
"218",860.5468,500.304363636364
"219",483.3683,531.574272727273
"220",221.1182,274.245272727273
"221",488.2046,294.365363636364
"222",244.908,292.807727272727
"223",399.2207,320.111727272727
"224",477.3095,342.800181818182
"225",203.0222,257.191545454545
"226",940.4517,221.536909090909
"227",245.0121,209.513
"228",145.0527,199.834454545455
"229",424.9658,258.850909090909
"230",158.9758,710.417181818182
"231",253.2172,561.575454545455
"232",725.1215,586.556909090909
"233",399.3267,586.941909090909
"234",573.4517,583.689363636364
"235",714.5097,576.961272727273
"236",759.1686,603.541727272727
"237",766.5382,726.072818181818
"238",804.5764,712.954272727273
"239",808.6101,721.336727272727
"240",931.1129,647.659363636364
"241",873.1585,647.439181818182
"242",521.4204,626.372909090909
"243",669.1395,632.108727272727
"244",518.7305,32.7416
"245",510.9599,409.3605
"246",215.1651,419.0661
"247",410.2213,345.2316
"248",311.1682,515.8233
"249",337.2049,485.2488
"250",228.1627,467.1104
"251",566.3488,474.329
"252",525.2825,475.7851
"253",616.3257,505.3897
"254",608.3174,491.1939
"255",518.3483,513.034
"256",237.0226,267.3573
"257",541.2648,263.8494
"258",539.2491,272.2365
"259",339.1632,278.3211
"260",493.1836,284.9278
"261",465.22,294.5265
"262",254.6234,318.8582
"263",159.1026,311.1627
"264",285.1706,339.6567
"265",239.0929,336.9287
"266",586.382,335.593
"267",281.9695,253.7017
"268",493.1822,553.1338
"269",277.217,554.1323
"270",414.224,553.7994
"271",539.4309,586.2536
"272",423.3474,598.0219
"273",454.2352,594.3521
"274",806.5963,782.9193
"275",646.636,781.153
"276",811.67,754.2891
"277",926.6119,742.8823
"278",806.5943,704.7564
"279",100.9336,707.4562
"280",876.5962,721.7721
"281",561.4875,704.3885
"282",136.9937,688.5234
"283",158.9755,635.784
"284",820.2095,665.2955
"285",575.4673,675.4259
"286",635.5239,688.9541
"287",762.5012,688.2859
"288",559.4721,685.6772
"289",804.5784,686.4658
"290",927.5279,656.6818
"291",859.5415,656.318
"292",830.0915,619.3747
"293",297.1193,62.3006666666667
"294",693.0232,404.096555555556
"295",338.2863,412.454222222222
"296",365.1402,431.259
"297",957.6168,442.110666666667
"298",567.3163,370.124
"299",281.1752,377.538555555556
"300",474.9822,373.225444444444
"301",871.4906,373.628777777778
"302",389.0254,346.836333333333
"303",444.9723,345.726
"304",279.1634,445.615666666667
"305",337.1841,467.184444444444
"306",597.3064,463.814333333333
"307",595.2886,461.927111111111
"308",612.2527,481.676444444444
"309",520.3412,499.808111111111
"310",635.3363,499.606333333333
"311",648.3544,509.784555555556
"312",480.3451,505.874888888889
"313",631.1212,494.281333333333
"314",973.6243,494.348444444444
"315",648.3056,492.864555555556
"316",556.4209,539.645888888889
"317",377.2929,533.914777777778
"318",333.9646,267.970555555556
"319",528.2629,287.311777777778
"320",397.1966,330.627555555556
"321",204.9464,332.108444444444
"322",430.1311,241.361444444444
"323",393.1529,547.396444444444
"324",629.1211,549.418222222222
"325",664.4172,578.536555555556
"326",445.3326,600.779222222222
"327",327.2539,604.687777777778
"328",341.3056,610.687111111111
"329",863.6406,736.324444444444
"330",856.6084,717.114777777778
"331",718.5395,707.197444444444
"332",763.5807,663.125444444444
"333",551.4669,665.078555555556
"334",935.2188,680.447333333333
"335",739.5119,686.840222222222
"336",919.2599,699.927222222222
"337",913.5699,676.875222222222
"338",852.5766,683.480888888889
"339",907.2059,657.529333333333
"340",399.184,636.299333333333
"341",129.0561,85.600625
"342",79.1003,62.587375
"343",292.1409,37.79175
"344",239.1885,433.988625
"345",313.0782,418.67175
"346",195.1387,396.90925
"347",694.9559,442.026375
"348",267.1961,464.319875
"349",532.0188,465.305625
"350",652.3068,456.585375
"351",945.5716,455.978625
"352",914.5181,477.7415
"353",640.254,479.713375
"354",544.2651,479.78975
"355",474.3219,503.676
"356",478.2937,505.041
"357",714.2906,523.317625
"358",628.1249,534.92075
"359",395.1629,264.942125
"360",277.0156,274.31875
"361",135.1051,290.066
"362",213.1131,288.122125
"363",369.1605,294.76925
"364",310.8379,304.9525
"365",345.1764,325.517375
"366",213.0227,248.943875
"367",411.1295,242.06125
"368",240.9135,235.0075
"369",294.113,226.60025
"370",944.9383,541.212
"371",591.4622,588.072
"372",420.0895,577.495
"373",495.407,573.7425
"374",808.6121,796.37075
"375",694.6349,793.855375
"376",901.7222,763.2245
"377",690.6033,768.188
"378",849.6085,743.443375
"379",816.6103,734.571625
"380",863.5683,732.145
"381",862.5529,731.53875
"382",876.5043,712.734
"383",535.4754,683.308625
"384",846.5854,676.4875
"385",783.5418,676.41225
"386",778.5623,680.8095
"387",779.1504,640.7735
"388",850.1807,630.8405
"389",712.4572,636.148125
"390",187.0077,108.537857142857
"391",193.0513,73.7874285714286
"392",195.0486,47.01
"393",350.099,35.8314285714286
"394",191.0199,34.1847142857143
"395",266.9326,33.318
"396",470.9877,421.553428571429
"397",523.2671,443.651571428571
"398",778.4682,441.745
"399",397.2228,419.473285714286
"400",293.2106,423.286428571429
"401",411.202,408.987714285714
"402",285.0105,385.589285714286
"403",589.3966,363.315857142857
"404",256.9548,454.397428571429
"405",481.0835,465.316428571429
"406",305.2895,464.623
"407",450.2595,458.037285714286
"408",658.3372,472.422571428571
"409",596.0074,509.343142857143
"410",577.084,509.341285714286
"411",590.346,492.008857142857
"412",466.2936,514.800428571429
"413",592.361,513.761142857143
"414",463.341,522.340428571429
"415",249.0453,280.527714285714
"416",159.1026,281.033142857143
"417",497.1159,294.661571428571
"418",469.226,304.493142857143
"419",437.1612,314.701571428571
"420",313.0783,344.288428571429
"421",744.4254,343.819571428571
"422",369.174,341.997285714286
"423",393.1553,238.927
"424",137.0249,237.893285714286
"425",327.0305,235.733142857143
"426",287.0017,234.278
"427",178.9776,277.564857142857
"428",158.9758,746.270571428571
"429",606.359,561.122714285714
"430",267.1962,561.166
"431",757.4732,553.799
"432",424.3509,598.429285714286
"433",959.6512,765.824714285714
"434",618.6022,766.722571428571
"435",863.5643,750.430571428571
"436",860.5774,716.287
"437",772.5271,717.667
"438",593.4775,678.069571428571
"439",824.5448,681.622428571429
"440",739.5613,644.532428571429
"441",618.488,656.490428571429
"442",375.3864,627.720285714286
"443",283.2642,636.386428571428
"444",309.1196,75.3261666666667
"445",159.8521,55.5605
"446",177.0773,45.855
"447",213.8894,34.8346666666667
"448",362.0651,34.5316666666667
"449",197.808,41.204
"450",230.0131,33.217
"451",287.1712,423.878333333333
"452",329.2329,383.943333333333
"453",337.9947,351.181
"454",493.0103,307.484833333333
"455",856.9861,518.210333333333
"456",824.9393,523.366666666667
"457",325.184,449.154333333333
"458",264.8363,467.858
"459",646.2902,456.636
"460",872.4717,455.625
"461",532.3195,469.982
"462",710.2594,465.9375
"463",243.1962,474.6325
"464",575.3216,489.292833333333
"465",297.0469,493.236333333333
"466",656.3748,493.8425
"467",550.3509,517.907166666667
"468",313.078,533.781666666667
"469",578.3022,261.573833333333
"470",405.1914,264.503
"471",241.0386,274.8525
"472",315.1602,317.419666666667
"473",715.248,312.688666666667
"474",846.493,344.1015
"475",395.2079,347.031166666667
"476",225.0698,248.869
"477",698.5795,251.0735
"478",329.9274,258.596666666667
"479",244.0411,241.8825
"480",744.5856,241.931166666667
"481",609.144,239.6515
"482",242.9105,235.622666666667
"483",322.9965,298.409666666667
"484",754.6556,777.843833333333
"485",158.9758,730.729666666667
"486",723.5344,757.218666666667
"487",465.1737,561.584833333333
"488",729.4711,553.294333333333
"489",288.9486,561.685833333333
"490",445.2379,552.080666666667
"491",327.233,576.952166666667
"492",445.332,598.183666666667
"493",433.3318,598.588166666667
"494",533.2916,597.577166666667
"495",545.4201,607.282333333333
"496",492.3769,616.6855
"497",441.3944,612.945
"498",864.568,750.343833333333
"499",676.5297,714.957833333333
"500",818.5534,665.312333333333
"501",882.5049,669.36
"502",937.2159,687.5585
"503",940.5503,686.446333333333
"504",848.5654,694.939
"505",894.5316,698.933166666667
"506",355.2851,641.860166666667
"507",789.1431,659.046333333333
"508",162.8392,90.9466
"509",263.1041,74.4462
"510",165.0285,83.303
"511",129.0563,74.3252
"512",160.8423,55.7628
"513",487.0035,403.8404
"514",626.9678,429.5604
"515",584.3552,399.3512
"516",322.2915,404.8106
"517",187.1338,381.2738
"518",583.2554,380.4244
"519",248.582,359.309
"520",392.9762,381.395
"521",253.1443,331.6524
"522",242.176,318.5492
"523",178.9774,529.6558
"524",405.0346,456.98
"525",564.3311,472.1456
"526",622.2934,464.1376
"527",299.2588,505.9958
"528",898.6025,505.0252
"529",640.254,487.6754
"530",525.3408,517.765
"531",495.4069,535.2376
"532",209.0683,276.9308
"533",346.0017,273.6016
"534",507.2272,271.8142
"535",234.9836,284.187
"536",715.1242,319.0428
"537",545.1364,315.0312
"538",471.2419,324.5534
"539",561.2003,259.4768
"540",327.0305,239.7874
"541",319.9381,239.6894
"542",165.0556,181.0898
"543",204.0667,190.9172
"544",217.0177,193.5864
"545",294.9818,268.755
"546",566.9729,292.2228
"547",824.6057,770.2412
"548",100.934,735.178
"549",533.3827,563.1416
"550",273.206,547.6124
"551",343.1221,547.3692
"552",607.0584,585.7684
"553",288.9485,604.9976
"554",190.928,604.937
"555",326.9027,596.0188
"556",849.1629,595.5328
"557",456.1011,594.4422
"558",447.3471,599.5388
