"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M105.045T36.2","105.045001130495","36.2451705932617","0","0","0","0","0","14382.6098885434","15400.2007153764","14493.3984857499","14843.2198074339","14179.7207727684"
"M107.0505T110.6","107.050470021095","110.564002990723","0","0","0","0","0","52805.5001645337","53993.3152819709","52480.46909329","61812.9502648888","64652.0385871201"
"M110.0252T60.6","110.025234207756","60.6456527709961","0","0","137.141238107183","0","0","5222.28371147809","7898.61273861297","8167.49178800655","7678.99098300529","8218.25474296678"
"M113.0141T32.9","113.014147543436","32.9158630371094","118819.322767779","121085.496144996","113704.109025726","119827.305081345","131967.375386102","0","0","0","0","0"
"M113.0973T254.3","113.097334864568","254.312194824219","344.313902918492","149.221943257673","173.857862698761","0","0","17767.1790836535","22197.1811161367","17848.7903571842","21791.6601250474","21204.0854379435"
"M113.9262T688.7","113.92621132011","688.680908203125","197532.420083812","203203.698409242","193325.815078895","175021.880864605","200008.126327613","143027.110758369","145935.02583672","149875.493601309","152934.953256738","141204.606548651"
"M115.0404T40.1","115.040377931581","40.0665969848633","4874.58265828387","5275.66478066067","7538.51492511002","2717.38522444081","5750.16979181982","643760.598827102","639121.665805631","648789.565771784","654911.236762207","648545.179354651"
"M115.9206T688.7","115.920637017304","688.680954101573","6875685.08339255","4174097.45247939","3593707.92120596","3657130.82590222","3659612.47287463","2739435.37006159","2679746.60377125","2729159.65468463","2730092.27955538","2618032.54263744"
"M115.9205T594.7","115.920534402356","594.651","910750.84929448","908782.899965275","962564.283742657","939169.406543298","869286.538600739","1111236.44584103","1143798.42316484","912582.978754165","1106891.01693832","900449.284850898"
"M115.9208T717.1","115.920784569464","717.140258789062","4853668.01243534","5298244.78820744","5747469.87902687","5280528.68423941","6000278.06210705","94943.6582214355","779601.515961075","501509.266530895","397418.179929256","517704.752409935"
