"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M259.13T74.5","259.130044011392","74.4596710205078","0","141.574169020751","0","0","0","38188.7058321155","36889.6680176903","38433.8070940862","42394.04347029","38020.9399634463"
"M259.1904T547.9","259.190399251838","547.941947265635","289.931825031904","1859.86594412944","623.347561537801","1764.15908915723","1953.84363750026","20127.3438283354","18399.4939565498","14816.7648162584","14678.1025410318","16896.8551024067"
"M259.8161T110.6","259.816148022369","110.564002990723","584.57897632202","536.752142717138","692.921025976897","747.654994974312","1334.78009494921","134207.074253117","180878.225761963","132344.345375448","126341.45825625","146623.069219238"
"M259.8161T75.8","259.816135437281","75.8054351806641","1076.92923967774","1255.9799454101","1708.08809526009","608.6061122883","667.59508011066","163397.295757578","316814.633162342","309355.471628282","320817.131949032","301994.164629819"
"M261.0414T48.6","261.041363264287","48.5696678161621","0","220.127215331484","0","0","0","57993.7705220085","61107.9218980888","62654.4994105057","62327.6258038817","58147.2865612278"
"M261.0434T243.5","261.043396892831","243.476379394531","135.787062598721","178.779459244011","0","297.122693659964","0","19687.6004523892","18979.5282735801","19482.3032556588","18048.5641288249","18325.4028829101"
"M261.1493T455.1","261.149346817298","455.129136230459","3438.2435374843","1156.37831627158","869.159336443059","1436.05325827934","1990.25731296837","24551.0632581858","18823.7078318202","16677.8053936322","15229.4522706011","17051.4642248976"
"M261.8893T239.9","261.889283353723","239.880889892578","861.602029535534","526.78493134413","512.197653213259","1060.87546129413","2230.09696235899","223493.489303947","244668.520028825","213453.541519959","208504.462713286","230236.53601187"
"M262.2585T553.4","262.258486530767","553.401916503906","455.732288155987","613.505815311144","1148.29917625135","672.615217446207","551.063600688805","5617.64115052659","4757.84118596325","5494.46020182217","4888.57157937084","5178.79720299676"
"M262.8391T468.5","262.839102528681","468.474548339844","0","243.152212321463","0","0","180.293692212981","13626.9738000255","13481.0284530584","13709.6987961124","13424.9911695373","11733.8695266906"
"M262.8962T239.9","262.896156042792","239.880889892578","0","0","0","192.363512442796","0","92087.8132198335","89170.9949805107","82437.0064948044","85578.96350438","90564.7945036377"
"M263.0026T278.6","263.002614392144","278.576477050781","0","0","0","0","0","19955.1083234871","14645.5599560709","17174.8277102986","15940.8772185999","13664.5765081719"
"M263.0351T87.5","263.035086482722","87.5281143188477","279.673090756818","0","333.524779645988","0","0","58272.6731081715","37447.7473973144","53619.2778474633","52140.8719190837","36522.637099219"
"M263.0388T48.3","263.038843655217","48.3037033081055","0","0","0","0","183.082797582611","19676.9193290598","21542.4520186626","20289.8697092628","19997.5737552978","21245.3606456897"
"M263.1284T302.9","263.128384278318","302.865783691406","404.435808048916","0","0","0","0","8394.13163398932","17885.6768319079","14031.6546255885","15460.0210471989","14352.1348142349"
"M263.1647T500.6","263.164678489205","500.626098632812","10385.2871341667","14485.6233338798","8592.88655301797","9360.36415919263","6299.93344391654","32204.5803306862","29065.1916494436","25653.8714724976","24736.0891072567","24944.1628952379"
"M263.8868T239.9","263.886760218835","239.871459960938","0","638.144510003162","535.120837072346","959.16149379484","490.307330240333","137305.749230655","143088.289930163","126851.297101059","127732.791709424","139095.710169686"
"M264.1602T500.6","264.160248760068","500.626037597656","141108.673963621","145731.605012478","142191.49588348","136932.764114169","136329.192469239","236254.576006807","233785.914590665","195690.726674052","201821.057524756","225926.522802371"
"M264.8365T468.5","264.836463524936","468.474548339844","143.727614349193","0","0","0","0","23041.7748649599","21302.7921473131","20681.3950015869","22380.205813458","22052.6868101229"
"M264.8903T298","264.890332539286","298.01299999998","0","0","141.613526953617","0","0","27257.6645964843","27422.3905157864","24244.5049117706","25037.7523995779","27532.1374019744"
"M264.8932T239.9","264.893206275302","239.871459960938","121.686600338191","0","0","0","0","59197.9012656389","58128.4934144353","55923.7194219021","54824.1880825098","60012.8722587941"
"M264.9575T87.5","264.957534988966","87.5161356506248","0","0","0","0","0","48736.5729673365","38785.5227413661","36422.5333714408","41624.9033068185","24590.7458159656"
"M265.0846T236.3","265.084604965368","236.278610229492","0","0","0","0","0","23434.6241959808","27048.0639840489","22352.2428528932","20940.1997449906","22251.7038677608"
"M265.1441T358.1","265.144081577628","358.066711425781","7926.96351562412","10553.2566482656","6807.54088384675","4867.58691909335","9547.41898727188","61101.8582780762","60537.8426666693","72106.4884606414","100411.708337402","64532.6638315388"
"M265.1481T423.6","265.148115404489","423.581924072266","1680313.18626038","1692893.04027519","1657791.99002666","1653305.28113214","1671024.59145722","3363550.58903623","3299110.07602836","1451570.91921387","1442991.24887553","3286843.85986827"
"M265.1558T452.7","265.155794183407","452.701965332031","0","0","0","0","0","113982.188383703","121285.52194258","95786.5083776058","94608.4672355484","106444.523145647"
"M266.0182T198","266.018228546801","198.038330078125","0","0","0","0","0","21657.4210353072","25852.8091198342","24335.3407911473","24158.5786610823","24463.4719620913"
"M266.1029T499.4","266.102856880313","499.413665771484","4727.77269140623","5988.09903212191","5135.19423407852","5731.35751823205","4700.83954310824","20192.1586526846","19141.4643775868","19245.8761796461","19045.4818294271","21374.0370298929"
"M266.1509T423.6","266.150945361203","423.581924072266","229461.308400436","225317.34853822","221823.536447601","231338.494484849","220820.270613023","464148.160260474","451240.865873671","196533.736244165","192315.597198844","427870.586540899"
"M266.5512T241.7","266.551237086596","241.670425415039","0","0","0","0","0","15075.4431771619","15405.7877856484","15220.7232667603","10128.2346551375","16708.3719073126"
"M266.8039T33.7","266.803864494498","33.7181091308594","0","0","0","0","0","129996.494128632","131448.129140059","113726.623874991","113252.605242198","127239.218962169"
"M266.804T46.4","266.803958029825","46.4030418395996","0","164.384273338288","0","132.903695366543","0","85271.0349711755","76192.2178582189","76216.968846823","71074.7411907948","77983.1723775864"
"M266.8339T468.5","266.833860955677","468.474533081055","0","0","0","0","0","12729.3838718948","13337.8752725536","13110.2403471679","12599.3997208191","13666.6499897582"
"M266.888T298","266.887994412277","298.012969970703","0","0","0","221.315451685829","200.490012721012","33216.1920013546","34368.1444655885","34638.0114430237","32300.860832386","34657.3457824217"
"M266.8909T239.9","266.890882184286","239.871459960938","0","0","0","0","0","10121.2745827336","10777.5183353015","8977.36665506275","9802.2763283486","8802.83952761366"
"M266.9637T110.6","266.963663463736","110.56399999998","0","288.826544850743","0","234.209625888523","687.361835112858","6768.75273093034","7609.39208610639","5982.84306237012","7842.29591109419","8657.03022064361"
"M266.9886T314.4","266.988610915596","314.389984130859","26099.557925626","24698.3039927437","27976.7253416082","25480.2680246336","24198.5837818375","15123.8331050589","19554.911963723","21551.7663162755","20938.2867369053","20450.8901454503"
"M267.0569T251.3","267.05685231714","251.291763305664","249.373057602329","0","0","0","0","11634.4232575066","13914.8757056079","11101.2939435941","13801.9890104658","11838.440601197"
"M267.0694T321.7","267.069371457291","321.6708984375","0","0","0","172.437631245492","460.997378244639","48487.556095306","44238.2876146337","45771.8688521295","42988.7631197918","41521.022245643"
"M267.1239T395.1","267.123933852591","395.07100000002","785.698218737625","1205.49682818498","874.899546268569","463.855580286157","199.924507710151","1480829.89901921","1522329.4256853","1463338.39379727","1499017.34637382","1503427.13042206"
"M267.1468T423.6","267.146792420277","423.581924072266","76834.0199727909","77030.9637847776","74830.2607383355","77176.5819419495","76900.9143817222","148843.288774973","150783.238606144","66441.4856580295","66695.5104379348","152899.448422633"
"M267.196T466.7","267.196030162433","466.654479980469","2736.17089629419","2342.39285153526","1371.26113781956","3386.7946971713","2362.54697774447","53444.3517542356","49493.8326956351","48914.0490287813","50284.0240293824","51153.6710248901"
"M267.1961T561.3","267.196108128272","561.28699999998","2564.01795226693","1420.0418482451","3919.76103289486","3224.19882020163","3793.20344756262","41977.1128056093","36944.5417569406","26718.4273894958","24074.8780579692","32498.349220772"
"M267.8912T110.6","267.891179390608","110.564002990723","186.901868073862","0","276.153895099321","0","0","15860.5946325439","14962.4569592469","15239.3443777534","16747.0206702642","14078.7820281522"
"M268.1269T395.1","268.12688337819","395.07100000002","0","0","228.016509099207","0","0","226694.137098774","221009.67530899","228472.486581973","214735.33824315","224722.783705559"
"M268.1497T423.6","268.149728888085","423.574798583984","9496.20962302098","9811.68089508818","10999.6325903375","11570.9232858112","12460.1672503329","22621.5584827096","18358.0369628904","8198.41399673315","8866.06764702246","22158.9484087152"
"M268.8011T33.7","268.801065044584","33.7181091308594","0","0","0","0","0","203233.848223476","205686.818649475","200199.190856745","189611.496251528","204277.579309117"
"M268.8011T46","268.801089245921","46.0103034973145","0","0","196.706646362486","0","0","133778.528463899","134221.96942009","111645.947415374","122306.601373466","137213.766120756"
"M268.8855T298","268.885461743631","298.012572998037","0","0","0","0","0","8023.79456101589","9530.8996945464","7153.35237182622","8087.16150181978","8708.82239482933"
"M269.0781T337.4","269.078085325099","337.442962646484","791.627797754747","368.194116751579","227.527101722856","615.902639012961","162.863197905322","54043.4722470703","53369.8317730589","51111.922848987","51029.3610794613","49537.14842401"
"M269.088T31.1","269.088037072315","31.1311321258545","0","0","0","0","154.32022872811","247853.101866934","248600.332356416","278852.056168707","265019.758027949","243858.948017561"
"M269.1295T395.1","269.129512390571","395.07100000002","502.341859564367","0","277.368446222135","622.581345158055","0","31123.1959005643","30631.2070115619","31987.4328099837","30503.9101382608","33139.0169009103"
"M269.2118T490.9","269.211773859927","490.920013427734","8704.67833591368","8812.17970132892","9449.91129088712","11819.0351552526","10680.329227956","104981.753840886","107910.964062182","97545.7857802365","101873.523796879","104299.186191999"
"M269.2119T594.7","269.211881113614","594.651","11101.2456193236","11222.7022336066","9976.97567245417","11476.6199430258","12525.0852141454","82927.63966784","78283.2245988542","81612.5869724111","81213.9421153723","115478.441916497"
"M269.2481T615.3","269.24811777105","615.277893066406","9608.84312263873","7499.78045528189","6993.802487279","5276.28771113751","8792.40806972591","35821.9669300598","38312.2113133478","24213.6539623181","26808.1111589773","36302.8013316906"
"M269.8885T110.6","269.888470334612","110.564002990723","0","0","0","295.041690898811","0","14312.0873383532","15406.2626904596","14908.2970758494","14389.7901707994","13103.4208746287"
"M269.9611T56.8","269.961114853822","56.8474426269531","132.875129564443","0","0","0","321.44242248433","59448.8748258546","58848.8967967949","57833.1509858005","51554.1293704217","56988.0544724908"
"M270.2153T594.7","270.215254467232","594.651550292969","1362.87406566393","1724.38334583433","1757.88954592128","1791.46871076524","2129.55517856572","12972.4484766904","13801.4996038762","10546.1106141718","12405.8663794003","13259.2906680854"
"M270.7982T33.7","270.798170423968","33.6911773681641","0","0","0","0","0","135791.788073232","135441.959594751","118330.736096277","127396.951772309","134239.758508733"
"M271.1549T307.1","271.154886650958","307.11199999998","2460.41085687784","2610.61158303412","895.151235700854","1961.81495534094","2960.78125459365","19743.4987564655","19275.3034103201","17175.4038708075","20220.7787149926","19793.4155537338"
"M271.2276T539.1","271.227645457626","539.064971923828","88373.9895362171","38177.3449760806","41184.8415014282","83528.2599553265","41546.4304521972","744419.702929995","739343.888948881","701107.02960048","864140.783814093","734574.188816234"
"M271.2274T520.6","271.22744436155","520.643981933594","25471.6811464858","25639.5952494561","24937.9428770823","20863.6094496848","21382.4093120523","122007.768018448","122230.403213828","111824.922965677","115375.208520959","124323.92748456"
"M271.2273T488.5","271.227296487186","488.493988037109","14449.9707146478","18775.8050010372","15336.7765229455","14278.9034661769","16445.8502941209","61885.341495627","63368.196253442","62055.4387758145","63490.7809526325","59922.5490403565"
"M271.2274T440","271.227393104706","439.962524414062","22756.1986001534","21108.3381565085","17824.615722527","22839.2899006509","16932.0348130266","104890.504049895","115006.609761023","109436.497627255","98885.1143410627","101440.100306343"
"M271.9181T240.4","271.918072819633","240.425633850088","2311.78347057218","2501.33601477928","1811.97541491601","451.649284375719","1041.6744210852","83474.9268269369","83422.3301574249","73729.6819772057","75598.064764328","73150.9569957143"
"M271.9843T113","271.984258961538","112.98225402832","0","0","0","0","0","19558.1112507414","17443.2345543093","18630.7542883451","18529.1199971555","14192.642116562"
"M272.0542T193.2","272.0542068249","193.239227294922","0","0","0","0","146.502212820342","7510.06420712029","8099.8155883156","6496.93628213494","6763.72650759104","7187.47686321787"
"M272.0717T251.3","272.071696346327","251.295166015625","0","259.853195350678","0","0","252.297719277039","44676.0280478881","42706.8368516601","47425.6580318169","51328.0775206498","46214.769110571"
"M272.231T538.8","272.231009162497","538.842","5161.94732161171","4994.39540167239","5241.12634425139","5332.07775733733","7553.15387627306","120772.966941323","123183.13734718","136101.94927754","117502.396184125","121385.657211822"
"M272.7954T33.7","272.795434059927","33.6911773681641","0","0","0","0","209.958189866458","43898.9619314703","41917.0841584019","43379.0020611636","37501.2510772075","41377.5934173521"
"M273.1108T421.2","273.110805389079","421.156555175781","0","0","0","266.91765070953","0","17991.1490515632","19079.722371637","20189.8266024874","19639.0017214214","20746.0710255496"
"M273.2337T538.8","273.233742661671","538.842956542969","222.962615352021","0","170.981114216667","0","198.173592622408","14957.7685811553","12627.3248408627","12510.895855192","11354.6687365524","14008.8812998689"
"M273.9153T240.5","273.915341824413","240.470230102539","770.994948554803","950.892891331751","522.282876913942","493.627142400849","1638.10312027001","25940.5195406827","26601.4285229357","27131.8850971079","24701.5844089233","25801.6251949487"
"M274.1117T211.8","274.111689932068","211.817611694336","0","0","0","0","0","17488.4245777009","17654.4080203491","17270.525275007","17956.4564487684","16364.9203958833"
"M274.9859T87.5","274.985860764591","87.5281143188477","962.612158492081","820.96459433993","475.659210918156","229.859108256653","259.719269973852","86723.5443423095","78698.0994021721","75694.0866235328","54966.7631856133","49446.8354353226"
"M276.1603T484.9","276.160304897852","484.853942871094","8024.95696676205","7666.33412721218","9503.61708286702","8374.64590884859","7398.99332214999","14702.85250663","11827.0819039797","11340.7329074399","9397.66115317837","9447.04450946463"
"M276.8332T33.7","276.833199723214","33.6898956298828","0","0","0","133.809676726257","0","42939.9214894118","38964.7899738513","33739.4723530387","37240.4978922583","37601.226363829"
"M277.1442T477","277.144187903104","476.967437744141","36421.5042663882","34191.9318021313","35995.9413896561","33769.0546527946","34253.6623132324","36417.0960164948","34704.3354890906","38795.6951389968","36494.7535447365","36151.0706479442"
"M277.1444T433.9","277.144356555921","433.896087646484","7446.25594305969","4899.04897181989","4821.61045524656","4490.96232112943","5070.57547466094","605507.639703589","590332.193964188","567085.994591155","583304.885408304","590120.137748265"
"M277.217T554.6","277.217011262177","554.614929199219","226.150801122574","435.62381432578","843.152678221015","0","0","170615.843146728","169978.724249618","165749.933844465","169676.684076543","167638.866337408"
"M277.9526T240.4","277.952564485072","240.42511505126","123.190431633446","188.931664797986","178.989124665021","0","332.145881556847","20187.9372197336","18288.4393966795","18709.8599721899","20031.8362180008","21974.7438030622"
"M278.1248T33.7","278.124776704373","33.6911773681641","0","0","167.739162304801","0","0","18935.3769145185","20262.6024435817","23330.2023380705","22943.3234014262","23452.3846587588"
"M278.1476T433.9","278.1475548382","433.896087646484","1207.05805577374","1309.23164289721","1222.49971613426","2138.4254775186","518.24997451622","107750.652483326","103367.100425427","92511.6684261483","94322.6051289175","103332.137694681"
"M278.2202T554.6","278.220249209268","554.614929199219","0","0","0","0","0","35814.5497594586","35261.6719046143","34399.2326677832","34838.3298230978","33793.7769419195"
"M278.9151T267","278.915062278425","267.029541015625","339.042981866747","0","0","0","0","18160.275231936","15624.2112317138","14905.9447054036","14919.1637244874","13921.2643213346"
"M279.1634T447.2","279.163430608744","447.242202758789","1067287.13163701","1068463.22886035","1056842.18939575","1071584.26491396","1059875.02150471","466851.777325477","458660.282392401","608925.938835499","607745.471809909","456855.108012158"
"M279.2328T429","279.232772202695","429.042404174805","150.079040175951","0","151.980471779856","132.208035081944","0","10088.3175045312","9746.22698329273","9958.51014082036","10032.2112530719","10466.5855539264"
"M279.2327T589.7","279.232743869474","589.671813964844","26984.8842062387","27448.5887337216","26204.8290540542","27189.6031155152","25885.6996315264","295368.504002856","307694.646443384","258274.29270956","252197.88662385","311299.895099763"
"M279.2328T578.3","279.23283261886","578.273071289062","2607.29607082081","1847.14235419965","6169.55044294083","6812.23398211018","12769.4453653918","880334.011144563","862520.558512793","805694.799534875","829388.38737765","887083.584372835"
"M279.6146T286.5","279.614595557604","286.478271484375","0","0","0","0","0","220659.124145717","223329.592071651","232861.350413338","225823.210168331","212199.159301939"
"M279.8939T65.2","279.893907425325","65.1505845031738","0","0","0","0","0","16732.5092962381","12925.7241553062","12692.6508410066","11279.0979654224","12256.8682249512"
"M280.1164T285.9","280.116442325816","285.87158203125","0","157.563429474222","181.219365103791","132.689615947505","0","73877.9204542867","74686.1735159826","70245.2308311408","73484.1932259705","64132.1727171336"
"M280.1247T370.2","280.124685524772","370.200012207031","416.445533015153","1889.3776439874","1297.77263838273","1823.83105523611","1076.25474394381","86247.2035209484","71295.331537875","71911.269022166","78866.2027630686","36575.1717079499"
"M280.1665T447.2","280.166527484944","447.242202758789","157186.4475133","155511.911124975","157522.053496948","156422.299025628","157152.136557053","71350.4395848614","68891.3226171222","90794.7297818392","94284.3181554681","71199.4944507791"
"M280.2361T578.9","280.236133346217","578.879058837891","610.543964378007","936.025967989892","800.889632706207","484.901935670818","546.471861247685","167352.061242757","169408.329033904","155374.938867056","162395.73384154","176323.4506682"
"M280.6225T308.3","280.622475022589","308.325454711914","0","0","132.29852480324","0","212.278770071481","363115.544058344","356931.544391653","357495.420204573","366457.814256116","345621.960544018"
"M280.9833T299.8","280.983274090651","299.832214355469","122916.963612775","136811.794846479","131256.879035995","142084.678358031","133230.190079633","116764.305869814","141819.758933411","134068.267824","134930.891304556","139574.167664941"
"M280.9932T196.1","280.993160155047","196.109954833984","457.157842257953","1135.60061819795","1022.40726666106","850.562257653222","750.477131911953","10035.9892438471","8383.38480944056","5885.73793379771","8172.78092806059","7485.72834771698"
"M281.0094T235.7","281.009449177064","235.679748535156","40751.9910201957","39699.8891997682","43797.1712491779","32025.0507701222","27221.984191895","22268.3162008632","23876.4099421691","25242.8320150818","29207.2849024545","38354.573736763"
"M281.1008T87.5","281.100789484739","87.5202713012695","0","234.270829983557","0","0","0","40273.2018859955","40698.5839462184","40783.4093569765","43488.7006050698","41234.7696255253"
"M281.1032T285.3","281.103232332872","285.263549804688","528.327549764537","0","475.443301225888","501.499224397587","0","177645.23050342","178462.173762321","176716.282245868","174925.46038638","178075.795983397"
"M281.1241T308.3","281.124110290614","308.325408935547","0","0","0","0","0","113169.373042236","111472.424123178","106602.804717687","103361.541245508","121217.074175642"
"M281.1627T447.2","281.162738526764","447.242645263672","48609.7966056079","52546.7977335021","49404.0975815368","54960.2153740212","44222.0111699975","18368.5468099756","13285.6162329644","23761.3299118421","28746.5204933413","19111.0299495976"
"M281.2394T578.3","281.239439143743","578.273071289062","294.208818261258","215.01716516912","362.719902151349","0","173.771268188953","15130.1709821227","20535.0132723634","15568.0670817825","15406.3599966246","21259.467969257"
"M281.2483T451.5","281.248325557927","451.488830566406","182.673321874812","0","0","0","0","12638.3294439239","11731.596771248","11188.0559998374","11991.1753057567","13026.4802106271"
"M281.2483T608.1","281.248301388735","608.054382324219","72202.8222030936","67340.9633695367","72025.6062712232","73519.8255148497","68936.6765143563","1583612.26334521","1605091.60120181","1526268.44328401","1601941.97191106","1616803.9752995"
"M281.2486T605.6","281.248552189799","605.57080078125","22223.8086647723","49869.792487593","33920.9132898614","20035.1796478584","36418.1643923774","1522554.80297182","1537043.37728418","1453270.9042802","1528868.41435556","1551880.31737742"
"M281.6231T308.3","281.623056497558","308.325408935547","0","173.959653265464","0","0","0","46799.5425863206","51085.0972083919","49017.7975483521","48271.193880695","48392.1307391184"
"M281.9468T239.9","281.946842420975","239.871459960938","2639.32072702508","3342.62855557543","4128.29104569564","2719.42614546139","2094.95832070964","31150.26212884","26560.3485978958","26254.245028499","27038.8886715719","24006.8880406355"
"M282.0111T235.7","282.011055400932","235.673385620117","2351.62032320618","4963.68713307346","5086.55181322301","4160.93339589404","5831.64728803539","3904.53496301402","4372.90233982946","5013.33083557142","5115.70305871221","6495.39101625622"
"M282.0981T424.1","282.098086795479","424.136764526367","16618.1395489015","21202.6461832742","21399.4240227904","17741.8776965517","19446.8567999671","27778.0121244484","22518.75596792","20873.2432516769","19653.2512727854","19900.1414072113"
"M282.1064T285.3","282.106396317351","285.263549804688","155.308992311365","0","0","0","0","30076.7636254664","29436.1262214865","29357.1790153187","28491.4545951856","29120.7670010914"
"M282.2518T605.6","282.251801985055","605.571044921875","7550.68473896728","7935.82175109894","6202.66401190683","9241.73347184399","7100.93463628195","307877.585478047","302512.746500466","287095.090383261","297925.647812702","312749.10538049"
"M282.2517T608.1","282.251665982151","608.054382324219","14716.0658165893","16676.0443289574","12656.7943525416","13288.2511487365","13718.3466131719","295026.363431763","290553.615239601","281311.241782381","290675.849084417","299880.315105883"
"M283.0281T191.2","283.028071629226","191.244","0","159.402528576592","0","122.626247683569","0","26196.2629391057","26851.8732105751","25135.5495520566","25755.5216776586","26272.6560390357"
"M283.0699T534","283.069886787991","533.988952636719","0","0","0","301.636452682755","232.791884013616","32549.3317518101","30750.5584719261","32248.4891500456","31438.2554774169","33617.7019786902"
"M283.1037T36.2","283.103676015268","36.2451705932617","0","0","0","0","0","60280.2080579329","62696.6960426148","57234.6608769692","66425.274435955","63181.0552781404"
"M283.1089T546.7","283.108888862773","546.727844238281","221.110661599785","0","374.320503461929","212.297571618465","597.498237937334","33305.5282151913","27794.6737615744","30703.0049237245","27805.1987289992","28526.0693801881"
"M283.1185T270.7","283.118495596193","270.71500000002","275.235208015623","1298.25592823451","633.618159455462","734.223093275395","174.25186541097","17319.3258427011","18059.4793885753","21978.1572644814","17535.6941758957","22812.6704032698"
"M283.1372T407.8","283.137239008362","407.809998779287","67586.5705836657","68520.9188266266","68342.2596196705","67682.3902854387","67225.2316864015","69782.5027521704","70528.8066346253","149425.47595426","152231.685923256","68595.3720174977"
"M283.1701T512.8","283.170116197072","512.758056640625","0","0","0","0","0","53188.4779296866","53937.5384722415","55983.7141902084","50231.9236838355","53071.2393578348"
"M283.191T412.1","283.191022371667","412.057250976562","22859.9426401821","16362.0483566205","11384.5015231422","16098.5984834082","12199.8318871797","139784.423867653","114093.208795192","118311.937127021","115634.623599913","109733.422460711"
"M283.2549T605.6","283.25485337051","605.571044921875","0","1080.25461273491","949.779411552397","0","563.003674862999","37030.9176570742","33791.5865395419","35438.0677905127","38131.7751177586","36539.2911521692"
"M283.2642T636.5","283.264158876698","636.51199999998","90732.3731359545","123762.702367074","112670.282353579","140729.171268014","139062.218520108","388879.022992458","391350.994623414","448382.42528363","453499.223494609","399412.282127181"
"M284.084T242.3","284.083973144918","242.270584106445","0","0","0","0","0","24544.7200216397","27692.0438830614","25062.5593116264","27304.6279714446","30953.8854229784"
"M284.1989T561.3","284.198935561511","561.28699999998","1352.10656023592","3115.97395385429","579.165431960486","2297.76239904296","2364.87583420984","55779.0686823253","55606.8739179223","46245.1079426986","48591.3146811135","55839.7865564566"
"M284.2226T486.1","284.222636082865","486.06700000002","1790.93011006275","859.350277588237","1693.76861974597","2004.98490514343","536.691561275545","58783.9388698179","54907.8143946767","56433.8251789354","57593.0583806089","58847.8385278072"
"M284.2674T637.1","284.267414874958","637.114440917969","27729.9625170999","27921.3757801535","24626.723272854","25144.0472330067","24963.3569588785","75522.1819304861","72462.905620679","83188.6136798","83728.238412028","75488.2182578116"
"M285.0678T534","285.067815195499","533.988952636719","0","0","0","0","0","31083.6450537569","32574.7942563539","29500.0436249557","33068.5348409741","35442.8375057009"
"M285.164T386.6","285.163988902093","386.583877563477","37574.0217228414","40049.9120809659","38585.8769182718","43821.7353686102","39079.3589878674","37307.4616731618","39210.3777759845","34379.3524194692","39592.8666044362","36931.2818112472"
"M285.2068T434.5","285.206789349717","434.502","25762.18115202","32414.5596391582","24036.9110010839","23830.0501947092","26537.7023840019","145269.662206808","144998.143030294","147724.742367948","138869.459889792","147284.230548686"
"M286.2102T434.5","286.210188187897","434.502","4656.53048864976","4292.5658392399","4746.18746345233","4873.23757116025","4433.73455815829","25015.7525088428","28738.5800720653","26514.4293787726","23239.5054689417","32686.4844872281"
"M287.2214T594.7","287.221425675551","594.651550292969","19481.120141066","20161.914087983","19969.1207155862","21102.7928705625","23072.6721795606","120145.694428362","112795.726870561","122360.114616096","119590.904464057","115576.324003785"
"M287.6122T332","287.612165679384","331.983520507812","0","0","0","0","140.820396490196","30123.2820702596","30816.73067146","31869.9078055233","29421.9069526979","32688.0469333974"
"M287.9025T75.2","287.902472125975","75.1867599487305","330.02542919848","184.971447727982","0","0","261.065835096718","14526.4778071688","14875.4312834994","14887.5708379843","15021.4092641461","15779.6365961189"
"M288.6199T287.7","288.619878801885","287.694732666016","0","174.62332087717","0","147.215556850036","0","187337.630975131","150345.315141625","171744.627196025","179733.992462143","180286.990209535"
"M288.91T51.1","288.910011559682","51.11500000002","0","0","0","0","0","9481.53845688536","8766.71900265511","9222.30596337891","8217.30212391357","7095.8162899793"
"M289.0533T329.6","289.053334788807","329.557006835938","302.47622029037","161.010395876158","0","0","283.500704030418","22060.7939845068","26249.0320213768","22369.9865082304","21620.7039816563","20362.6360253934"
"M289.1052T395.1","289.105179145282","395.07100000002","0","0","0","0","0","10198.2678043933","12639.3728830599","10607.7017159978","9479.25069303493","10634.4982584423"
"M289.1215T288.3","289.121464748727","288.301391601562","788.441277981154","713.688176122043","145.157198181027","170.806989142438","386.921457784949","48479.7620160148","47082.6305496743","51525.8294004552","47381.6650904234","45041.6170107292"
"M289.2954T575.8","289.295357770153","575.845515869131","16062.509757192","20998.4272752966","21208.233200606","19510.877152554","14212.2134234425","17949.3104513625","37750.2947971531","35918.8342293864","41036.976389811","40884.8673138001"
"M289.2957T576.5","289.295710683314","576.535888671875","21265.9331502747","22305.7545942007","21544.7794527416","19838.6786913575","20450.1393297429","43267.0936677251","38448.2729173758","37886.92485787","42842.8723920722","40263.7484546618"
"M289.8973T88.1","289.8972821476","88.1190032958984","0","0","0","0","0","232986.878657211","248007.307838389","232343.685617981","227009.130038933","249478.432261585"
"M289.8973T75.2","289.897311677368","75.1765289306641","0","0","365.749482068445","0","0","229605.323219197","261866.613676405","240179.08599161","241317.814959653","250370.024021671"
"M290.0682T35.9","290.068173883056","35.9030456542969","14272.2383240901","13927.5204037813","13614.0785035197","13950.6565006292","12105.5761861275","0","0","0","483.889009809484","0"
"M291.0361T303.5","291.03614202234","303.472381591797","288.384087798879","621.447125216899","302.562342589482","0","399.143752644253","27664.6982127487","26076.8699118369","28050.0716152692","23860.8065474887","27213.5497786598"
"M291.0669T338.7","291.066898099172","338.656433105469","442.302615476307","0","0","185.185918341355","149.512519957874","24024.9611360731","23474.5193130107","25178.6374704712","20322.798739807","20177.2113245846"
"M291.0667T254.3","291.066670092598","254.308837890625","0","0","0","0","261.631134864176","19204.8250063721","20208.9261552963","23744.2769997278","19850.2879066023","20871.8175071144"
"M291.1993T460","291.199328266875","459.982104125987","78447.9400290528","76937.9411241932","71974.9300840106","76774.5091089531","71695.7206539371","82379.3105207935","81568.3334632573","75564.9702178159","79718.5400243728","75717.5126538422"
"M291.3048T550.4","291.304796734034","550.367919921875","14065.2466129778","12928.3863165931","9206.84119142947","13471.6541120505","14474.0888701619","74025.6265015742","72382.5097840856","70862.0233959582","74601.3228414659","70068.2800832518"
