"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"26",121.556849039193,121.556496954804,121.557177627,223.383636474609,222.17299999998,223.387542724609,7,2,5,6963.64606291419,5832.83121134861,5344.82502758154,5247.31727150443,7086.1745765002,7307.23534912109,8358.80155303841,18052.6038055018,8365.34048866265,7137.26055422974,"","","1338",9844.24835011073
"28",122.488512331068,122.488358177108,122.488664643363,314.379058837891,313.773010253906,314.985992431641,11,5,5,18013.6934917836,18691.5690360526,18550.9462872152,20716.6170099243,22321.0650316223,33163.2535158883,28991.9224665324,22016.2942943708,21451.4097152062,22153.7628604535,"","","22",25555.3285704902
"29",123.060907442658,123.06078412551,123.060922165593,37.1510009765625,37.1500053405762,37.7580032348633,5,0,5,NA,NA,NA,NA,NA,114577.630235801,113372.9871538,115342.149383638,106881.315892031,111382.425037494,"[2][M+1]+","","669",112311.301540553
"30",123.507439075351,123.507266566546,123.507510354831,314.378998901367,314.378265380859,314.986145019531,10,5,5,20874.6335934296,24886.6412643792,22518.7130321412,28343.0509099208,25976.1086733041,35286.4679416925,31870.3248036804,39594.9718659994,24220.2541122859,25993.4963427144,"","","22",31393.1030132745
"31",125.986327966777,125.986262051725,125.986377973388,606.770906494141,606.53515625,606.772033691406,6,1,5,2905043.85360111,1999010.48367397,2275636.26100267,2179526.74604399,2164392.80307225,3486677.27080695,3471052.52463542,3517006.63517015,3318081.69640927,3324170.80323257,"","[M+Na]+ 102.997","12",3423397.78605087
"32",125.986315433424,125.986242590246,125.986360414559,594.639,594.521606445312,595.245666503906,7,1,5,24739301.1142171,22862835.8570181,21923110.8211451,630743.580421878,22752206.3837588,21997317.7662997,22637983.3635416,22613735.2108292,15558161.9235809,3287756.57970384,"","[M+Na]+ 102.997","12",17218990.968791
"33",125.986253322028,125.986251682293,125.98628780996,560.059814453125,560.059387207031,560.060607910156,5,0,5,2565869.46660347,2634992.11191575,2403515.10262909,2458654.37364159,2494225.23925883,2346917.0479127,2709940.5321967,2450113.76068239,2555779.34446876,2554417.14309961,"","","48",2523433.56567203
"34",125.98615283607,125.986110694672,125.986204388174,728.096252441406,728.09521484375,728.097,5,0,5,967193.995205077,844419.943194411,810689.966043635,980371.019236502,979369.787470289,279777.069121291,281243.523829513,298579.270723986,282077.435531249,282791.235790722,"","","688",284893.706999352
"36",125.986242408638,125.986221926082,125.986252265885,666.82699999998,666.826965332031,667.431945800781,5,0,5,3601646.83262845,3274557.4175648,3282191.76457783,3292514.89996515,3247780.37868772,1940152.68772001,1779658.0576223,2113420.94891752,2082655.81424155,2341422.82651622,"","","23",2051462.06700352
"37",125.986129727876,125.98609388039,125.986179256055,71.7280044555664,71.7278747558594,72.33499999998,5,0,5,2690533.02246497,2990706.918749,3115269.82306332,2893818.715581,3022723.24025898,1336435.77716317,1344582.71774252,976805.986400539,1381895.64979928,1410434.92224325,"","","1000",1290031.01066975
"40",125.986221379119,125.986194302519,125.986233530752,481.805969238281,481.19899999998,481.806182861328,5,0,5,2551676.84610251,2499292.27205131,2422783.46290697,2509230.87146514,2510367.33831232,934859.812452239,971395.787851872,1010984.3477838,908765.977241737,901273.391286755,"","","1015",945455.86332328
"43",127.036267353473,127.036201218314,127.036459262682,34.72399999998,34.1170043945312,34.7250022888184,5,0,5,202.486098650636,395.526580982635,NA,893.487313344661,NA,25119.7066338103,29390.2378953923,25545.691631813,23782.9939578029,30517.2599961293,"","[M+Na]+ 104.047","10",26871.1780229896
"45",128.101632447278,128.101533526889,128.101719226255,35.93800000002,35.9366035461426,36.6628837585449,9,5,2,225194.242208409,220639.488902274,227112.016930346,223153.187295411,224295.82061825,24626.9783929422,19272.3749255342,21954.1430236215,13017.0895692362,22997.475597681,"","[M+K+NH3]+ 72.1159 [M+Na+NH3]+ 88.0898 [M+Na]+ 105.109 [M+H+NH3]+ 110.072","10",20373.612301803
"48",129.127257962318,129.127164654631,129.127317667788,377.456314086914,376.848480224609,377.473358154297,10,5,5,123194.698780957,117591.869067924,120487.093160394,121677.126855468,115135.924599962,110782.476526016,110982.6820873,107796.252524432,106473.252872197,99611.0043138851,"","","1448",107129.133664766
"49",130.06480820032,130.064666971339,130.065021134993,192.447067260742,191.84299999998,192.44905090332,5,0,5,839.694269963157,1107.29098905261,2833.0429393075,1075.1339525078,1582.54579094365,66731.0687009885,67028.2270596377,59531.6892666214,64242.0998583322,66208.5304363036,"","[M+2Na+K]3+ 305.247","102",64748.3230643767
"50",130.064788759126,130.064646970088,130.064870103446,222.173095703125,221.56699999998,222.174041748047,5,0,5,5151.61237840137,3850.72404336989,965.919837948866,4372.3917287086,4060.94317387819,79904.1076400379,84706.837948312,86852.1143115212,72052.0406443966,79873.0707369787,"","[M+Na]+ 107.075","64",80677.6342562493
"53",131.493818890972,131.49351207228,131.494006221502,314.379699707031,313.773010253906,314.986083984375,10,5,5,10256.1176566955,10929.5157978149,11840.1796632535,14315.0929214171,17281.752398387,16825.9309453674,19291.8501322179,14442.1297625952,12561.652041505,13122.9302941668,"","","22",15248.8986351705
"54",132.102701513522,132.101875250373,132.102809213998,34.7240028381348,34.1171226501465,35.3310012817383,11,5,5,452098.208278738,442943.593745801,451529.910792097,441470.635363477,449421.010334154,25415732.2418413,25418370.8730495,26096317.9957366,26091596.1240283,26131705.8986764,"[3][M]+","[M+H]+ 131.096","10",25830744.6266664
