"","mz","rt"
"195",517.3854,633.683363636364
"196",513.4146,597.451
"197",393.2539,551.843
"198",181.1014,541.750727272727
"199",300.2781,238.276272727273
"200",397.1839,431.549818181818
"201",230.2479,355.628363636364
"202",222.0758,207.945363636364
"203",327.2161,317.577909090909
"204",495.2209,328.772727272727
"205",125.9861,72.047
"206",863.8051,861.8556
"207",785.6633,825.5194
"208",348.3132,379.9547
"209",331.2477,386.5061
"210",450.3213,387.9619
"211",544.34,475.1937
"212",638.6076,644.5032
"213",735.5797,635.7007
"214",650.6442,794.4398
"215",759.6376,731.7356
"216",595.4934,612.5343
"217",573.9064,566.9946
"218",447.0993,586.5233
"219",102.0073,494.6522
"220",376.2601,345.8625
"221",136.0731,62.5277777777778
"222",607.2097,758.427888888889
"223",458.3617,506.205555555556
"224",437.2538,462.933444444444
"225",428.8322,535.053333333333
"226",321.206,512.609222222222
"227",368.1894,547.321
"228",685.1865,618.701444444444
"229",338.3421,667.191555555556
"230",678.5072,653.818222222222
"231",720.0679,677.408888888889
"232",862.6243,677.004333333333
"233",593.5142,752.361333333333
"234",812.6172,730.253
"235",759.5747,696.820333333333
"236",376.1933,588.543888888889
"237",575.466,630.632
"238",515.3703,604.344444444444
"239",125.9863,560.635111111111
"240",163.1328,223.924444444444
"241",362.253,257.357888888889
"242",242.2505,278.925555555556
"243",219.1954,403.549
"244",263.2213,387.366
"245",287.131,292.067555555556
"246",332.1723,335.543555555556
"247",105.0334,75.367875
"248",229.0866,73.017
"249",817.7287,839.25975
"250",519.1389,730.2195
"251",401.3453,439.79725
"252",279.6477,472.024125
"253",509.266,480.82025
"254",392.2266,553.387
"255",535.17,649.007375
"256",536.6127,664.199375
"257",717.5523,643.6235
"258",873.6311,679.224375
"259",878.5846,729.385125
"260",808.5856,703.527625
"261",822.0918,725.2905
"262",513.3532,604.419625
"263",545.4168,604.72375
"264",705.9849,551.56725
"265",145.0171,547.093375
"266",161.0032,569.458
"267",123.0418,606.201625
"268",291.2529,447.535875
"269",228.1955,326.1325
"270",392.2538,394.140875
"271",453.3432,197.07275
"272",244.1272,217.093125
"273",757.8966,222.856
"274",363.2164,272.370375
