"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"43",137.024812439713,137.024793519515,137.024818902793,239.871459960938,239.772994995117,240.37999999998,5,0,5,10552.9452102208,12834.2807280395,10294.7542632428,13007.9765168159,7961.75090531401,11377976.4570352,11432529.1826451,11410014.6486166,11394831.0904819,11645625.1638983,"[5][M]-","[M-H]- 138.032","14",11452195.3085354
"45",138.027796591986,138.027778513157,138.027828143403,239.876174926758,239.772994995117,240.479049682617,6,0,5,NA,NA,NA,NA,NA,788039.581788001,796546.990417353,770055.26621338,761488.47400694,744061.833926366,"[5][M+1]-","","14",772038.429270408
"48",143.071189737912,143.071096999363,143.071546097661,224.60800000002,224.351989746094,224.922149658203,5,0,5,817.833582232481,870.120086075179,1568.05008622336,1492.56080105714,1555.0556295149,37499.9232869915,32056.4419386801,35062.9880994196,40455.7477577633,29487.5094403449,"","","1140",34912.5221046399
"49",144.045456351623,144.045402566481,144.045678162374,209.425415039062,209.376190185547,209.685424804688,5,0,5,380.714134953704,172.222150976008,350.502544579773,227.420717969367,NA,20579.2989950835,23780.3299742758,20771.4576979691,22760.8971057634,26822.0715961474,"","","1159",22942.8110738478
"50",144.066968166582,144.066964198436,144.066972192158,35.6077346801758,35.0445327758789,36.3424911499023,5,0,5,1681.45072271426,2220.8088631572,1133.87100768668,1409.98244459666,894.064961807505,74694.4813771973,77339.0972146824,77775.0729776367,72955.8583122881,72150.3928671557,"","","600",74982.980549792
"53",145.086910619564,145.086800200537,145.08706025642,264.603271484375,264.545501708984,265.206237792969,5,0,5,23651.9390799069,22571.7413446577,20197.0912754239,20219.8288883836,22262.3406249692,61966.1756539306,62358.474094821,64206.4824661896,77226.7018646346,62231.9418667045,"","","123",65597.9551892561
"54",146.983452351841,146.983386031888,146.983478739884,33.0512771606445,32.916,33.096378326416,5,0,5,NA,NA,NA,NA,NA,767071.791573006,783527.552515086,798009.39757597,808778.712760506,747607.289756735,"","[M+Cl]- 112.015","72",780998.948836261
"55",148.980529765257,148.980421866817,148.980621242764,33.0512771606445,32.916,33.096378326416,5,0,5,NA,NA,NA,NA,169.355015738107,244580.196919482,239236.614741514,252908.036628031,245773.15320097,235397.753736934,"","","72",243579.151045386
"56",150.886863961898,150.88675748008,150.886926435256,33.6911773681641,33.52300000002,33.7459335327148,5,0,5,NA,NA,NA,NA,NA,207881.046869138,215407.809930975,188910.904362499,199267.507868613,222727.562630551,"","[M+2Cl]2- 231.838","72",206838.966332355
"57",151.039946926033,151.039846868707,151.040279684127,229.721054077148,229.687088012695,230.265151977539,5,0,5,742.991761593207,988.898094722875,2929.85975643892,266.318429692417,782.090869894426,30207.777167169,27589.2630828647,30140.7858426451,29883.4565828816,26138.0935760993,"","","79",28791.8752503319
"58",151.040098378814,151.039985293636,151.040305469013,314.998596191406,314.99800000002,315.60888671875,5,0,5,1118.92836967166,397.051314102411,2307.44884934977,2317.1613944792,2327.14036564641,20227.997477098,16593.8012805929,15480.7608142441,15033.9326216342,18111.1609562555,"","","18",17089.530629965
"59",151.040267537332,151.040208876107,151.040301776963,78.8211822509766,78.2705993652344,79.01899999998,5,0,5,NA,442.524058446195,770.976454104006,482.222487125883,NA,11284.3712824533,14249.1852458404,13491.7041945234,12496.6636582214,14690.2463741547,"","","1106",13242.4341510386
"60",151.040100398521,151.039944578512,151.040127521451,189.690765380859,189.113372802734,190.169494628906,5,0,5,1521.29427395517,1211.08345292519,254.003569302077,1458.92165836621,1170.57115096203,36050.4351174575,35361.2218875881,34105.7182917041,35595.4125311737,34248.2457534776,"","","67",35072.2067162802
"61",152.883925938506,152.883845548653,152.883964650265,33.6911773681641,33.52300000002,33.7459335327148,5,0,5,NA,NA,NA,NA,NA,192549.125817268,215453.61161287,200134.869820621,187629.063536494,196367.706772769,"","[M-H+Cl]2- 271.806","72",198426.875512005
"62",153.019296732157,153.019063221598,153.019372550637,239.871459960938,239.772994995117,240.37999999998,5,0,5,2975.42128243396,2153.28567591125,3466.92220229272,2877.14170346409,2152.84688675082,52622.8747678022,43425.64926858,48610.1344442062,49588.304874579,49019.3881081135,"","","14",48653.2702926562
"63",154.919062738234,154.918979192445,154.919131811985,35.0446472167969,34.9681701660156,35.6077346801758,5,0,5,NA,NA,NA,NA,NA,261216.576061537,259493.255877764,263979.881527228,275868.870395205,259739.827786358,"","","602",264059.682329618
"64",155.071298433049,155.071116004747,155.071418051474,242.80600000002,242.270233154297,242.876358032227,5,0,5,1600.76759787478,737.7309972496,947.115559997518,893.444396644227,820.824341673524,46264.5834864808,55520.0995637308,48507.8641862366,49701.6234972246,47718.7706845608,"","[M-H]- 156.081","76",49542.5882836467
"66",157.087013513786,157.086960758845,157.087054187619,290.731506347656,290.124633789062,290.733,5,0,5,2058.93879588327,3286.98965957473,1810.29735638921,1990.58109088569,1176.82674566437,340866.800737042,344238.22376145,352104.663469813,342374.203051392,352847.889149793,"[6][M]-","","743",346486.356033898
"67",158.090441330419,158.090254378976,158.090575868065,290.731475830078,290.124908447266,290.733,5,0,5,NA,NA,NA,NA,NA,31030.4857441018,33934.6459215985,25700.1815597772,29163.52533413,33338.7892426679,"[6][M+1]-","","744",30633.5255604551
"72",159.066329143291,159.066060937735,159.06647921933,98.43100000002,97.8854904174805,98.5019454956055,5,0,5,5533.09040891084,3293.26901509782,5314.0598850885,3622.88365860455,4148.62627823437,15162.3555371661,15501.2937431207,16676.2890636153,14856.7584971543,12562.8416768205,"","","148",14951.9077035754
"73",159.102562618439,159.102496383702,159.10260962838,311.96500000002,311.964202880859,311.965515136719,5,0,5,12817.8692255844,12546.139331476,7807.64955198392,12266.6150484638,10634.6826962453,144134.386740128,137248.688866042,142426.210247259,143859.366544593,147753.461662239,"","[M-H]- 160.109","99",143084.422812052
"74",159.102597606205,159.102573072185,159.102666921721,281.008209228516,280.996032714844,281.634,5,0,5,10868.7907673754,9264.40305104007,9096.94455100378,8320.05822909972,10399.7928030054,170320.023893523,158747.357730177,163991.027811267,172444.671327822,172076.974772461,"[6][M+2]-","","740",167516.01110705
"75",159.102613147518,159.102517821229,159.1027902775,229.700622558594,229.088531494141,230.067,5,0,5,3232.87957198923,3527.42068827032,2792.75990730961,2622.62623825551,1920.27328453833,55843.1995015272,54983.3958238979,57845.1419836121,59235.0417449298,58454.596860375,"","","949",57272.2751828684
"79",160.106079320419,160.105961251004,160.106317822291,281.008544921875,280.996032714844,281.616607666016,5,0,5,NA,198.946878791903,NA,185.560446403222,348.457332941587,15143.2149035379,15792.6655141477,11637.7499121737,15737.7366093165,14938.5628817634,"[6][M+3]-","","740",14649.9859641879
"80",160.842284677575,160.842255275191,160.84229605349,40.2214126586914,40.0665969848633,40.8647232055664,5,0,5,61293.2016473049,50630.9108269599,72466.0501357767,94706.4677768142,74362.6452227556,2764593.70499604,2599159.55714657,2523581.23639311,2508618.13745691,2414485.81611357,"","","564",2562087.69042124
"81",160.842125032993,160.842080733421,160.84214879254,75.0830917358398,74.5576324462891,75.37999999998,5,0,5,88798.963854901,42572.4143525604,50967.6614692531,48914.4195599625,74609.0335373417,5969203.74694789,5016335.56144498,4930485.36733594,4991485.87118624,4827395.0783079,"","","448",5146981.12504459
"82",160.998944732208,160.998902252172,160.998964851051,36.2451705932617,35.95000000002,36.3424911499023,5,0,5,NA,NA,NA,153.105680334812,NA,205850.471347461,204051.098078866,204621.74621432,199850.54912128,205913.299766418,"","[M+Cl]- 126.03","40",204057.432905669
"83",161.133523857477,161.133370244772,161.13392316173,421.762969970703,421.155822753906,421.763641357422,5,0,5,NA,238.259822449901,NA,NA,NA,15168.4692986938,13531.787988502,16472.5585824474,15194.6087739257,17080.5756970591,"","","552",15489.6000681256
"84",163.076476484988,163.076068740568,163.0765953406,384.15199999998,383.544982910156,384.153625488281,5,0,5,NA,199.754672124982,198.334814941182,199.513151049614,241.940103396773,13690.2980849874,12183.6109100101,15309.5986846505,11314.5089200847,16529.2422846198,"","","574",13805.4517768705
"89",165.055579929703,165.055358508642,165.055796928127,184.57099999998,184.274291992188,184.909469604492,5,0,5,249.834547398301,123.516165947986,225.465365257199,564.148433351978,153.543426758898,74569.9961002808,73218.5242120627,76364.4285179686,70578.3443776437,73326.7134036987,"","","86",73611.6013223309
"90",167.021290846704,167.021247096935,167.021310489432,33.6911773681641,33.52300000002,33.7459335327148,5,0,5,NA,NA,NA,NA,NA,343963.594189908,322773.062692009,350344.061369881,329941.696606275,324773.064264488,"","","898",334359.095824512
"91",167.034692900555,167.034684835544,167.034716449217,202.210540771484,202.030731201172,202.246246337891,5,0,5,951.798965764173,151.408141256621,528.229772176897,1291.37509567718,908.91291898907,29084.2488777247,28613.3350685119,29671.9172752943,29085.0882856018,24063.8709486898,"","","137",28103.6920911645
"92",171.027885502644,171.027690659569,171.027953407092,36.2451705932617,35.95000000002,36.3424911499023,5,0,5,345.046290938321,NA,161.715103197702,172.249428647761,NA,47083.1812452026,49117.1947536359,52143.5914233832,55616.6719149869,48671.4157869547,"","[M+Cl+NaCOOH]- 68.0712 [M-H+NaCOOH]- 104.048 [M-H+HCOOH]- 126.03","40",50526.4110248327
"93",171.980449830174,171.980248185729,171.980647090864,299.832244873047,299.832,299.832885742188,5,0,5,224.752004364899,230.927129525405,1125.94567092018,1924.20264458771,881.257177104484,36631.4772772704,31723.6275472178,52665.9911059016,51993.7286099853,35501.7390270844,"","[M-H+Cl]2- 310.006 [M-2H]2- 345.983","99",41703.3127134919
"94",172.992020255063,172.992011759858,172.992069890075,51.4571151733398,51.11500000002,51.763614654541,5,0,5,NA,NA,362.976686327141,421.295796184087,NA,2270998.51393651,2311636.52345864,2365667.89040896,2355245.41059341,2378901.94676138,"[9][M]-","","39",2336490.05703178
"95",172.999022192268,172.998907870307,172.99929925434,40.0665969848633,39.58900000002,40.2214126586914,5,0,5,NA,222.303171167017,NA,NA,NA,56486.8890059326,56578.1360273505,56164.0869121948,58381.9182539429,54660.442143389,"","","565",56454.294468562
"99",173.977752858048,173.977664920524,173.97794342105,299.832275390625,299.832,300.439239501953,5,0,5,206.648378951983,186.615307558667,NA,195.300226384943,221.243667266586,10628.117461943,11986.0862649169,12579.7101621625,16477.0107769544,11123.6442125876,"","","99",12558.9137757129
"100",173.994895901601,173.994831048197,173.994975315192,51.4571151733398,51.11500000002,51.763614654541,5,0,5,469.116931184158,151.070890516192,151.841602867953,NA,133.07661123842,169122.185772803,171857.850648749,164245.048655702,171785.627382278,174284.828605805,"[9][M+1]-","","39",170259.108213068
"104",174.989497586433,174.989331245765,174.989663428307,51.4571151733398,51.11500000002,51.763614654541,5,0,5,NA,NA,NA,NA,NA,94701.2204878128,100019.373451974,99053.148682863,96211.9912302623,104271.142240283,"[9][M+2]-","","39",98851.375218639
"105",175.014639759632,175.014546625776,175.014731999393,64.6112289428711,64.4294586181641,65.067,5,0,5,NA,NA,261.033521169753,NA,NA,78832.2508962889,98863.0278856854,95546.0173449014,97225.8712691541,96189.982053178,"","","38",93331.4298898416
"106",176.038640646164,176.038595207427,176.039036947244,50.1902389526367,49.8474349975586,50.508,5,0,5,NA,NA,NA,283.862191735208,NA,11544.3985240904,12111.7347558594,14315.223675345,11437.7383565196,11955.3629009233,"","","589",12272.8916425476
"107",177.011743805209,177.011577061857,177.011889245026,64.5361144714356,64.4294586181641,65.067,6,0,5,NA,NA,334.341192395601,NA,NA,29155.8797198054,33769.3697264929,30568.565884829,30679.6170776599,31836.214962304,"","","38",31201.9294742182
"108",177.055504360417,177.055290698784,177.05587621774,353.820037841797,353.214569091797,353.821228027344,5,0,5,206.897525702273,1034.96275711712,NA,137.412265616091,227.961817846565,12823.5931362934,16673.0102170486,14192.8734324913,15079.4423482404,11250.3240755208,"","","1107",14003.8486419189
