"","idx","file","mz","rt"
"1",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",335.049926757813,33.233
"2",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",201.038497924805,33.679
"3",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",201.038497924805,34.493
"4",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",328.117095947266,37.85
"5",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",328.117095947266,38.398
"6",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",292.140884399414,37.443
"7",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",292.140884399414,38.252
"8",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",128.035339355469,35.138
"9",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",128.035339355469,36.101
"10",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",261.0419921875,49.391
"11",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",382.722229003906,35.945
"12",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",376.958557128906,49.89
"13",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",115.040382385254,38.799
"14",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",115.040382385254,39.309
"15",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",203.083038330078,47.83
"16",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",203.083038330078,48.497
"17",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",292.816833496094,40.901
"18",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",208.845504760742,42.768
"19",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",208.845504760742,44.691
"20",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",318.999969482422,46.373
"21",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",318.999969482422,47.331
"22",1,"data/MS2n//ddan/idda/NIST1950_Iterative_RPN_20210405_01.mzML",230.949897766113,50.701
