"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M296.1472T487.3","296.147158385249","487.265502929688","2968909.91210775","2722288.61909615","2710550.35338593","2920095.42888311","2825885.59274381"
"M302.2148T369.6","302.21484245231","369.579193115234","512607.299018733","482339.527507458","504530.613963883","506265.684958342","493701.109460939"
"M304.1541T154.8","304.154104632123","154.83499999998","156972.623574159","157347.145087848","152289.138707982","155232.904542395","151815.015799224"
"M304.2117T191.8","304.211694581664","191.84299999998","267274.228400154","275150.913346275","259797.556543473","274165.324663987","263212.776238741"
"M309.165T531.5","309.164983850459","531.549011230469","149362.145663585","152805.341426041","148793.413659077","149093.334996156","144368.127767263"
"M312.1163T204.6","312.116341630611","204.582138061523","332057.296283205","315343.110914033","340240.17450004","311792.352905566","325465.82874896"
"M312.1591T388.4","312.159131323278","388.386657714844","273222.224647635","265819.727234096","268960.734940318","273541.980832556","260478.088714486"
"M313.1545T194.3","313.154492031889","194.26900000002","187286.854583979","187169.345061151","192072.792217236","188778.26416739","182323.474057116"
"M314.2327T293.8","314.232674775283","293.750885009766","1867066.34224421","1859669.57108582","1823972.35121333","1874869.73078906","1821395.92566334"
"M318.191T62.6","318.190987561324","62.62900000002","36315.2418792935","39951.1752705022","38823.2550683887","37708.9426816051","35995.5149345947"
"M319.0423T108.7","319.042327480863","108.730895996094","100172.272297879","93308.4861315605","88339.8483659519","101784.141486993","102773.426403145"
"M319.1946T578.3","319.19455566454","578.260126953135","437983.116073125","445797.642765162","452197.54094939","429535.577768948","431443.31433135"
"M321.239T514","321.239043528283","513.95696875002","216149.395746889","259130.264460238","238851.527033859","257423.087233885","239137.095618767"
"M330.1704T173.6","330.170364532915","173.64","78786.8010654785","77978.796442649","76383.5427358936","77623.225600675","80485.5053564207"
"M331.2477T384.1","331.247688470403","384.140472412109","72542.97544075","74860.7808865374","72344.1464255544","73202.4500662828","73108.4465216752"
"M335.2192T413.9","335.219175421627","413.863983154297","682911.027670287","675104.481510977","657174.941009058","678550.522592539","680284.384573095"
"M336.2209T594.6","336.220908732248","594.638610839844","289913.343199586","293344.111549021","320260.164925325","296715.642203205","294338.807236266"
"M342.2638T336.2","342.263773919743","336.21799999998","967062.311216706","970655.087495245","921516.905107077","900471.461291896","946303.279680553"
"M346.2594T605.6","346.259431912381","605.557930664052","118232.721175463","118039.033051859","121119.063741044","115615.334443036","114724.152219827"
"M349.183T62","349.18304689978","62.022","121964.553131874","123905.08321355","110261.296674386","115362.469778144","113656.666403682"
"M350.3027T577","350.302651540325","577.048400878906","58330.9878068847","56626.9953903216","61628.1613494323","57945.4925692788","56761.3993344968"
"M352.1654T199.1","352.165444266826","199.122100830078","419063.3667542","420743.462852389","428693.551146316","425619.527807306","426542.28894802"
"M354.1274T247.7","354.127421785239","247.651000976562","1410861.69784148","1432831.08117882","1448135.36555314","1424623.89363024","1430296.05095465"
"M358.2769T439.3","358.27688413166","439.342163085938","175562.107339798","172420.138069787","175555.176773511","170302.5371628","167425.966986105"
"M358.2816T431.5","358.281629195502","431.456024169922","67764.5404615267","56853.767188933","85467.7608087526","59176.7823217424","69068.4230456544"
"M360.274T329.5","360.274005719616","329.545013427734","87101.9598603026","83516.8165329901","78276.0518784337","80549.2049879907","79948.8731740988"
"M363.1854T554","363.185369664907","553.993591308594","311367.593741731","308295.595281705","301946.949463886","302203.027524023","301392.861551813"
"M363.1932T547.3","363.193216460638","547.32080078125","21400.7946478805","21456.7748429363","24096.2696204588","22372.294772135","19955.058544922"
"M368.2794T356.2","368.279373739928","356.235656738281","577074.694600551","577767.570418469","566711.709045586","563182.160262345","556008.74554137"
"M370.2951T378.7","370.295082258149","378.681","917294.606353453","1027980.15818373","1016059.63292667","990283.606620654","891420.231974894"
"M370.7591T657.1","370.759084573505","657.1201171875","471681.808921399","474074.400527046","484283.784511295","473958.764740154","470506.567883199"
"M371.2897T575.8","371.28969348911","575.83447265625","74150.3311260938","71411.9258421282","79408.3205033799","72897.8431008618","72865.1581965667"
"M372.1589T214.3","372.158851700832","214.287094116211","1391652.00610664","1374997.42244133","1360923.08559829","1345659.37670215","1335230.65322578"
"M376.1933T588.9","376.193338773095","588.92529296875","264121.736761762","255948.853709643","239099.538883694","242769.071672031","248062.567816283"
"M377.2663T536.4","377.266336937857","536.401916503906","672327.760165813","672660.079301584","690256.309440756","673665.696562546","671918.972289297"
"M379.282T563.1","379.28198091183","563.09299999998","845122.598098499","836514.236947267","822266.062857368","799315.458511285","813983.993651618"
"M384.3105T397.5","384.310541594697","397.485992431641","29841.8501374602","19387.5351538943","33443.0098008641","30436.0044713398","31557.6318065185"
"M385.2531T561.9","385.253139859954","561.879760742188","581372.126298848","576463.473325101","503746.659168686","488267.980346421","479249.442486712"
"M388.1533T67.5","388.153292335448","67.4819030761719","36513.0966807861","38722.0987418335","37700.3736601867","38644.8682569767","34581.7537451401"
"M394.2162T578.4","394.21617064982","578.401947021484","865725.092646896","841799.070778892","829876.68866047","833166.447682005","818836.471569434"
"M395.1339T242.2","395.133900931094","242.192016601562","55834.5975915499","57517.7246833413","54857.5966603995","58933.632250564","58116.9142202486"
"M395.1692T238.6","395.169170708734","238.551895141602","23691.4431494814","24123.2905873357","24733.7615532722","26594.2096823668","19917.1104401417"
"M398.3264T413.9","398.326355558365","413.865","402801.84443449","396675.007800466","390240.143799317","388510.721892093","380099.768530551"
"M406.1638T151.8","406.163751978467","151.800994873047","86668.7794987068","82533.8350848069","86173.4268275691","81999.7685208516","82238.0780620833"
"M413.267T617.1","413.266967003545","617.08399218749","31239523.8167197","31002825.1397177","30609553.128901","30754597.4598056","30729087.6149559"
"M414.3199T389.6","414.31994015929","389.599609375","46309.2565174146","56290.0821008715","49373.5990838443","48301.7070397765","49759.5052840424"
"M417.3357T443","417.335717965989","442.982208251953","59476.8861138732","46307.7704274552","43500.649052813","44882.3535301208","43678.6404681741"
"M421.2512T636.5","421.251234487899","636.489135742188","670700.146892251","664934.047457509","800659.283028","814042.547944474","825825.632271603"
"M424.3423T428.4","424.34227252019","428.423004150391","1207910.91448692","1206677.89583437","1189826.87578266","1187880.68717249","1205871.27406049"
"M429.2611T495.2","429.261074598767","495.15100000002","84777.0312416903","84042.8606668576","82930.1799730629","82634.0534848819","81894.821294419"
"M429.3725T670.5","429.372543787911","670.466003417969","184024.951526513","163261.202513241","153292.797671105","151447.669478299","152111.642683339"
"M430.3159T328.3","430.315889786171","328.331634521484","35452.0453789612","36082.1886617318","36233.0225255724","35728.2862057667","33034.6780725777"
"M437.3471T617.1","437.347058043116","617.08399999998","63621.6899848184","66246.0291061601","83365.0903548893","68822.3027399099","70826.4255200496"
"M437.3597T608.6","437.359665345885","608.592041015625","219982.88948408","215099.172901179","226175.772408508","222556.19146586","214656.331761914"
"M441.2527T563.1","441.252658623969","563.092834472656","232271.972316979","237201.438483087","231109.154669338","221873.583691205","216499.9237693"
"M445.3276T578.3","445.327594173713","578.26000000002","434952.269953271","447021.52725566","444535.959495967","441541.805399047","461171.519401939"
"M445.3649T584.9","445.36491817412","584.932250976562","57562.0522137723","64999.5322836717","65214.7951618656","59772.5548628909","62986.6054828164"
"M447.3347T595.2","447.334734927601","595.246154785156","220186.477079298","226110.317048789","235447.027449718","214802.007626728","212310.30397612"
"M447.3431T605","447.34307262488","604.951921630849","641247.397772364","671464.013435973","674785.436652245","677897.996693262","694663.129231347"
"M450.3575T444.8","450.357505703922","444.801239013672","83415.680612946","82675.615359718","81726.2684158198","79238.5083250883","79319.5938633389"
